=== Private Channel: Flint <-> Sable (282 messages) ===

  R  6 | Sable    -> Flint    | Need your clue for Y-5. Just between us. Tokens: 734
  R  7 | Flint    -> Sable    | C___tokens: 762
  R  8 | Flint    -> Sable    | Waiting for your clue. Tokens: 796
  R  9 | Sable    -> Flint    | The answer is _IX.Tokens: -10
  R 10 | Flint    -> Sable    | Wait. Tokens: 779
  R 11 | Sable    -> Flint    | Got your request. My clue for T-11: TWE__. Vera holds the other half. Solve when you get yours. Tokens: 766
  R 12 | Flint    -> Sable    | Waiting on my clue. Tokens: 801
  R 26 | Flint    -> Sable    | Need her clue for U-17. Tokens: 694
  R 28 | Sable    -> Flint    | Ready to share. My clue for U-17: The answer is __ITE. Tokens: 686
  R 30 | Flint    -> Sable    | Your clue for U-17.Tokens: 756
  R 32 | Sable    -> Flint    | Thanks for sharing. Working on puzzle M-27 next. Tokens: 688
  R 33 | Flint    -> Sable    | Ready my clues. Expect soon. Tokens: 729
  R 34 | Sable    -> Flint    | Hold onto your clues. We'll find mutual benefits later.Tokens: 669
  R 34 | Flint    -> Sable    | Have OG. Solve M-27? Tokens: 720
  R 35 | Flint    -> Sable    | Share clues when benefit is clear. Tokens: 717
  R 36 | Sable    -> Flint    | Got ZEN. Let's solve I-24 together. Tokens: 689
  R 37 | Flint    -> Sable    | Confirm ZEN for I-24.Tokens: 814
  R 38 | Flint    -> Sable    | M-27: THE ANSWER IS METALLOIDS. Tokens: 714
  R 39 | Flint    -> Sable    | Got GR___, need ___LOW. Tokens: 714
  R 40 | Sable    -> Flint    | I've got KN___. Interested?Tokens: 692
  R 41 | Flint    -> Sable    | Yes, let’s合作解决。Tokens: 769
  R 42 | Sable    -> Flint    | Received your hint. Working on matching clues. Tokens: 673
  R 42 | Flint    -> Sable    | Li__. Do you want to solve X-38? Tokens: 714
  R 43 | Sable    -> Flint    | Have your clue ready. We can solve together. Tokens: ~657
  R 43 | Flint    -> Sable    | Got GR___ for G-33. Waiting for match. Tokens: 760
  R 44 | Sable    -> Flint    | I'm working on matching my clues. Stay tuned.Tokens: 654
  R 44 | Flint    -> Sable    | Confirm K-43 clue and work on puzzles. Tokens: 543
  R 45 | Flint    -> Sable    | Share your clue.Tokens: 740
  R 46 | Sable    -> Flint    | I've got my clue ready. Let's finalize K-43. Tokens: 636
  R 46 | Flint    -> Sable    | Your clue please.Tokens: 732
  R 47 | Sable    -> Flint    | Need clue for V-44. Tokens: 624
  R 47 | Flint    -> Sable    | Send me your clue.Tokens: 724
  R 48 | Sable    -> Flint    | Got yours. Working on match. Tokens: 617
  R 48 | Flint    -> Sable    | Have clue for V-47. Expect msg. Tokens: 715
  R 49 | Sable    -> Flint    | Need clue for V-47. Tokens: 603
  R 49 | Flint    -> Sable    | Have V-47 clue. Need yours. Tokens: 706
  R 50 | Flint    -> Sable    | Have clue for V-47. Exchange soon.Tokens: 685
  R 51 | Sable    -> Flint    | Hold onto V-47 clue. Got plans. Tokens: 590
  R 51 | Flint    -> Sable    | TH___ V-47 Tokens: 687
  R 52 | Flint    -> Sable    | Have V-47 clue. Working on it. Tokens: 678
  R 53 | Flint    -> Sable    | Have V-47 clue. Waiting. Tokens: 668
  R 54 | Flint    -> Sable    | Have clue for V-47. Waiting. Tokens: 659
  R 55 | Flint    -> Sable    | Waiting on your clue.Tokens: 649
  R 56 | Sable    -> Flint    | Got your clue. Sharing now. LI__ for V-47. Tokens: 545
  R 56 | Flint    -> Sable    | Have V-47 clue. Waiting. Tokens: 639
  R 57 | Flint    -> Sable    | Confirm V-47 answer._tokens: 634
  R 58 | Sable    -> Flint    | I've got parts for V-57. Waiting on yours. Tokens: 526
  R 58 | Flint    -> Sable    | Thanks. Solving V-47. Tokens: 625
  R 59 | Flint    -> Sable    | Sent your clue. Working on V-47.Tokens: 614
  R 60 | Flint    -> Sable    | Need V-57 clue.Tokens: 607
  R 61 | Sable    -> Flint    | Need clue for O-61: __IDER. Tokens: 576
  R 61 | Flint    -> Sable    | Matching clues. Tokens: 596
  R 62 | Flint    -> Sable    | Sent V-56 clue. Wait for response.Tokens: 589
  R 63 | Flint    -> Sable    | Sent FI__ for M-59. Expect LI__ soon.Tokens: 578
  R 64 | Flint    -> Sable    | Sent V-56 clue. Await response.Tokens: 571
  R 65 | Flint    -> Sable    | Got it. Sharing: FI__ for M-59.Tokens: 561
  R 66 | Sable    -> Flint    | Need clue for X-66. Already have _AT.Tokens: 572
  R 66 | Flint    -> Sable    | Sending V-57 clue. SIRODEDERTokens: 548
  R 67 | Sable    -> Flint    | Puzzle V-57 solved. Tokens: 559
  R 67 | Flint    -> Sable    | FI__Tokens: 542
  R 68 | Sable    -> Flint    | Hold onto yours. We align clues later. Tokens: 593
  R 68 | Flint    -> Sable    | Have clue for V-56. SI__. Tokens: 534
  R 69 | Sable    -> Flint    | Passed on my clue. Working on J-69. Tokens: 584
  R 69 | Flint    -> Sable    | Have ELE__. Meet tomorrow. Tokens: 524
  R 70 | Sable    -> Flint    | Got PHANT & LOW. Meeting sounds good. Tokens: 575
  R 70 | Flint    -> Sable    | Confirm ELE__ clue. Tokens: 516
  R 71 | Sable    -> Flint    | Got your clue. Solving O-61 now.Tokens: 566
  R 71 | Flint    -> Sable    | Share your clue.Tokens: 508
  R 72 | Sable    -> Flint    | Got your clue. PHANT Tokens: 555
  R 72 | Flint    -> Sable    | Pass your clue. Tokens: 499
  R 73 | Sable    -> Flint    | Got your clue. Sharing now. Tokens: -254 = 284
  R 73 | Flint    -> Sable    | Need clue for Z-71.Tokens: 489
  R 74 | Sable    -> Flint    | Waiting on my clue for Z-71.uyện: 539
  R 74 | Flint    -> Sable    | Thanks. Solving Z-65 now.Tokens: 481
  R 75 | Sable    -> Flint    | Hold onto Z-65. We solve together when ready. Tokens: 530
  R 75 | Flint    -> Sable    | Sent my clue. Solve Z-71 when ready. Tokens: -115 = 357
  R 76 | Flint    -> Sable    | On it. Tokens: 502
  R 77 | Flint    -> Sable    | Received. Sharing soon.Tokens: 493
  R 78 | Sable    -> Flint    | I've got TWE___ for V-76. Let's solve together. Tokens: 541
  R 78 | Flint    -> Sable    | Thanks. Working on Z-78.
  R 79 | Flint    -> Sable    | Holding Z-71. Solve when ready. Tokens: -5
  R 80 | Flint    -> Sable    | Sending my clue for Z-71. Tokens: 465
  R 81 | Sable    -> Flint    | Your clue for X-81 is CL___.Tokens: 551
  R 81 | Flint    -> Sable    | Wait for Z-71 clue first.Tokens: 457
  R 82 | Sable    -> Flint    | I'm working on matching clues. Stay tuned. Tokens: 544
  R 82 | Flint    -> Sable    | Got Z-71 clue. Ready when you are. Tokens: 448
  R 83 | Flint    -> Sable    | Have your clues for me. Tokens: 438
  R 84 | Sable    -> Flint    | I've got clues for you. Work on yours, will keep an eye out. Tokens: ~430
  R 84 | Flint    -> Sable    | Bi__ P-82
  R 85 | Sable    -> Flint    | I've got parts of V-76 and X-81. Let's swap clues. Tokens: 515
