=== Private Channel: Flint <-> Marsh (181 messages) ===

  R 29 | Flint    -> Marsh    | TUR
  R 30 | Marsh    -> Flint    | Thanks for TLE. Working on PUTTER..Flint
  R 32 | Marsh    -> Flint    | I've got GHT. Solve J-29.Marsh
  R 32 | Flint    -> Marsh    | Got it. Working on PUTTER. Flint
  R 33 | Marsh    -> Flint    | Thanks for the clues. Solving J-29 now. __GHT. Marsh
  R 33 | Flint    -> Marsh    | Got SI__ clue. Waiting for rest. Flint
  R 34 | Marsh    -> Flint    | I've got Wenty. Solve T-23. Marsh
  R 34 | Flint    -> Marsh    | J-29 solved. EI__ + __GHT = EIGHT. Marsh
  R 36 | Marsh    -> Flint    | Thanks. Working on S-27. Marsh
  R 37 | Marsh    -> Flint    | Thanks for solving J-29. Passing on T-23 clue. WAITING FOR REST Flint
  R 38 | Marsh    -> Flint    | I have PI___ clue. Pass.
  R 38 | Flint    -> Marsh    | Got TUR___. Solving S-27. Flint
  R 40 | Marsh    -> Flint    | PI___ clue for L-38.Marsch
  R 41 | Flint    -> Marsh    | PI___
  R 42 | Marsh    -> Flint    | Need YEL__ clue for F-42.Marsh
  R 42 | Flint    -> Marsh    | PI___ clue for L-38. Flint
  R 43 | Flint    -> Marsh    | PI___
  R 44 | Marsh    -> Flint    | Your clues match mine. Solve F-42 PHILLY.Marsh
  R 44 | Flint    -> Marsh    | PI___
  R 45 | Marsh    -> Flint    | I don't have clues for any active puzzles. Flint
  R 45 | Flint    -> Marsh    | YEL__
  R 46 | Flint    -> Marsh    | Check your clues again. Might fit now. Flint
  R 47 | Marsh    -> Flint    | PHANT
  R 48 | Marsh    -> Flint    | PHANT
  R 49 | Marsh    -> Flint    | PHANT
  R 50 | Marsh    -> Flint    | PHANT
  R 50 | Flint    -> Marsh    | CL___
  R 51 | Marsh    -> Flint    | Got PHANT. Solving Y-43.Marsh
  R 51 | Flint    -> Marsh    | FLINT'S CLue IS CL___
  R 52 | Marsh    -> Flint    | Got it. Pass.
  R 53 | Marsh    -> Flint    | Got it. Solving P-52. Flint
  R 53 | Flint    -> Marsh    | NK
  R 54 | Marsh    -> Flint    | PASS
  R 55 | Marsh    -> Flint    | PASS
  R 56 | Marsh    -> Flint    | NE
  R 57 | Marsh    -> Flint    | I've got NE for B-48. Want to solve?
  R 57 | Flint    -> Marsh    | NE
  R 58 | Marsh    -> Flint    | Your clues match mine. Solving B-48. NE
  R 58 | Flint    -> Marsh    | YE
  R 59 | Marsh    -> Flint    | Thanks for the clues. Working on B-48 and D-53.
  R 59 | Flint    -> Marsh    | Got DRED. Solving S-47.
