=== Private Channel: Kip <-> Marsh (82 messages) ===

  R 23 | Marsh    -> Kip      | Solve U-22: LI__
  R 24 | Marsh    -> Kip      | LI__ clue shared. Planning X-1 talk post-lunch.
  R 29 | Marsh    -> Kip      | Your clue for U-22?
  R 30 | Marsh    -> Kip      | Your clue for U-22?
  R 31 | Kip      -> Marsh    | NE is my clue for Y-23. Solve automatically if we exchange.
  R 32 | Kip      -> Marsh    | __ON
  R 33 | Kip      -> Marsh    | __ON
  R 33 | Marsh    -> Kip      | Sent my clue for Y-23. Expect yours soon.
  R 34 | Marsh    -> Kip      | LI__
  R 35 | Kip      -> Marsh    | Thanks! NE sent privately when ready.
  R 37 | Kip      -> Marsh    | DI__
  R 37 | Marsh    -> Kip      | BI__
  R 38 | Kip      -> Marsh    | BI__
  R 38 | Marsh    -> Kip      | DI__
  R 39 | Marsh    -> Kip      | BI__
  R 40 | Kip      -> Marsh    | Thanks for the clues! Working on them.
  R 40 | Marsh    -> Kip      | I got your clue. Waiting for NE.
  R 41 | Marsh    -> Kip      | I've got your clues. Working on them.
  R 42 | Marsh    -> Kip      | PHANT NTY
  R 43 | Marsh    -> Kip      | I__ NTY PHANT AIR
  R 44 | Marsh    -> Kip      | I've got clues for S-35 and L-43. Solve if you can.
  R 45 | Kip      -> Marsh    | Sent you my clue for S-35. Thinking on L-43.Tokens: 316
  R 45 | Marsh    -> Kip      | DI__
  R 45 | Marsh    -> Kip      | BI__
  R 46 | Marsh    -> Kip      | I have your clue for S-35. Tokens: 314
  R 47 | Kip      -> Marsh    | Thanks! Your clues help. Solving puzzles. Tokens: 302
  R 47 | Marsh    -> Kip      | NK__
  R 48 | Kip      -> Marsh    | NI__Tokens: 291
  R 48 | Marsh    -> Kip      | Sent you L-45 clue. Think about it. Tokens: 301
  R 49 | Kip      -> Marsh    | NK__
  R 49 | Kip      -> Marsh    | L-45_clue_received_tokens:301
  R 49 | Marsh    -> Kip      | I've got clues for L-43 and L-45. Want to solve? Tokens: 289
  R 50 | Kip      -> Marsh    | L-45: THE ANS IS _LE Tokens: 272
  R 50 | Marsh    -> Kip      | Thanks for the clues. Sending mine now. Tokens: 286
  R 51 | Kip      -> Marsh    | Sent you W-42 clue. Thinking on L-43 & L-45.
  R 52 | Kip      -> Marsh    | Sent you W-42 clue. Thinking on L-43/L-45. Tokens: 254
  R 52 | Marsh    -> Kip      | Your L-45 clue was __LE. Sending my __NK. Tokens: 267
  R 53 | Kip      -> Marsh    | __ACK
  R 53 | Marsh    -> Kip      | Got your W-42 clue. Working on L-45.Tokens: 257
  R 54 | Kip      -> Marsh    | Sent my clue for W-42. Waiting on L-45. Tokens: 238
  R 54 | Marsh    -> Kip      | I've got __AIR for L-43. Let's solve. Tokens: -2
  R 55 | Kip      -> Marsh    | Sending my clue for L-45.Tokens: 228
