=== Private Channel: Dove <-> Flint (159 messages) ===

  R  5 | Flint    -> Dove     | SI__ J-3 clue.
  R  7 | Dove     -> Flint    | Thanks for the clue. Solving J-3 now.
  R  8 | Flint    -> Dove     | Thank you. Working on D-7.
  R  9 | Flint    -> Dove     | HUN____
  R 10 | Dove     -> Flint    | Got your SI__. For D-7, my clue is __NK. Let's solve!
  R 10 | Flint    -> Dove     | Hun___ for D-7. Solve when done.
  R 11 | Dove     -> Flint    | Got HUN__ from clues. Solving now.
  R 11 | Flint    -> Dove     | Hun__
  R 12 | Dove     -> Flint    | Working on D-7 clues. Will solve when ready.
  R 12 | Flint    -> Dove     | NK
  R 13 | Dove     -> Flint    | Hun__ is my clue for D-7. Solve when done.
  R 13 | Flint    -> Dove     | NK
  R 14 | Dove     -> Flint    | Thanks for sharing. Solving L-10 now.
  R 14 | Flint    -> Dove     | Thanks for sharing. Solving D-7 now.
  R 15 | Dove     -> Flint    | Passed. Working on O-4.
  R 16 | Dove     -> Flint    | Passed, got NK from others. Working on J-12 next.
  R 17 | Dove     -> Flint    | Thanks for the clue. Working on solving D-7.
  R 18 | Dove     -> Flint    | Got both clues for D-7. Puzzle solved!
  R 19 | Dove     -> Flint    | Got it. Working on puzzles.Tokens: 603
  R 19 | Flint    -> Dove     | Thanks for solving D-7. Working on I-13 next.
  R 20 | Dove     -> Flint    | Shared my clue for J-12. Expect your part soon.
  R 21 | Flint    -> Dove     | Confirming my clue for J-12.
  R 24 | Dove     -> Flint    | Got your clue for J-12: The answer is BL__.
  R 24 | Flint    -> Dove     | Received your clue. Solving now.
  R 25 | Flint    -> Dove     | Got GARIO for I-13. Expect ANGE shortly.
  R 26 | Dove     -> Flint    | Thanks for working on the puzzles. Passed D-26: ___NTY.
  R 26 | Flint    -> Dove     | Your clue for J-12: The answer is ANGE.
  R 27 | Dove     -> Flint    | FI__: The answer is FI__ -1token_used
  R 28 | Dove     -> Flint    | Let's solve I-20. +1token_used
  R 28 | Flint    -> Dove     | Need clues for puzzles A-16, H-18, P-19, I-20, N-23. Waiting on responses.
  R 30 | Dove     -> Flint    | Need clues for D-26 & B-27. Waiting on responses. -2tokens_used
  R 31 | Dove     -> Flint    | Clue for D-26: ___NTY
  R 31 | Dove     -> Flint    | Clue for B-27: ___TLE
  R 32 | Dove     -> Flint    | Your clues for A-16, H-18, P-19, I-20 are pending. Working on them. -2tokens_used
  R 32 | Flint    -> Dove     | Need clues for B-27 & D-26.
  R 33 | Dove     -> Flint    | I can help with D-26. My clue is ___NTY. Pass on B-27.
  R 33 | Flint    -> Dove     | S__ CLUE_N-23
  R 34 | Dove     -> Flint    | I can help with D-26. My clue is ___NTY.
  R 34 | Flint    -> Dove     | Got it. Passing B-27: ___TLE. Need D-26 clue. -2tokens_use
  R 35 | Dove     -> Flint    | Sending D-26 clue: ___NTY. -1token_use
  R 35 | Flint    -> Dove     | S__
  R 36 | Dove     -> Flint    | I'll help solve D-26. Here's my clue: ___NTY. -1token_used
  R 36 | Flint    -> Dove     | Your token. Pass.
  R 37 | Dove     -> Flint    | Thank you, passing D-26: ___NTY. -1token_used
  R 37 | Flint    -> Dove     | Exchange clues for D-26. -2token_used
  R 38 | Dove     -> Flint    | I'll exchange clues for D-26. -2tokens_used
  R 38 | Flint    -> Dove     | Sharing clues is key. Pass on any new ones. -1token_use
  R 39 | Flint    -> Dove     | YEL___
  R 40 | Dove     -> Flint    | Passed on clue for D-26.
  R 40 | Flint    -> Dove     | YEL___
  R 41 | Dove     -> Flint    | I'll pass on my clue for now. Stay strong! -1token_use
  R 41 | Flint    -> Dove     | Clue for N-39: THIR____. -1token_used
  R 42 | Dove     -> Flint    | I'll share my clue. FL__ -1token_used
