=== Private Channel: Dove <-> Flint (138 messages) ===

  R  3 | Flint    -> Dove     | GR____ Tokens: 720
  R  4 | Flint    -> Dove     | GR__. Tokens: 709
  R  5 | Dove     -> Flint    | Thanks. Solving K-1 together.Tokens: 703
  R  6 | Dove     -> Flint    | SP__Tokens: 732
  R  7 | Flint    -> Dove     | SP__
  R 36 | Flint    -> Dove     | Your clues. R-34: BL__. Tokens: -1
  R 37 | Flint    -> Dove     | Your R-34 clue. Tokens: -1
  R 71 | Dove     -> Flint    | Pass Tokens: 0
  R 71 | Flint    -> Dove     | YOUR CLUE: The answer is __UE. Tokens: -1
  R 72 | Dove     -> Flint    | Confirm M-66 solved. Tokens: -1
  R 73 | Dove     -> Flint    | Your clue is __UE. Tokens: -1
  R 73 | Flint    -> Dove     | Your clue for M-66. Tokens: -1
  R 74 | Dove     -> Flint    | Thanks for sharing. Working on it. Tokens: -1
  R 75 | Flint    -> Dove     | Your clue is SE__. Tokens: -1
  R 76 | Dove     -> Flint    | Thanks. My clue for Y-73 is S_. Tokens: -1
  R 83 | Flint    -> Dove     | __ZEN Tokens: -1
  R 84 | Flint    -> Dove     | SE___
  R 85 | Dove     -> Flint    | SE___ Tokens: -1
  R 87 | Dove     -> Flint    | SE___
  R 87 | Flint    -> Dove     | Got clues for U-77 & R-81. Solve together? Tokens: -1
  R 88 | Dove     -> Flint    | Clues for U-77 & R-81. Solve?
  R 88 | Flint    -> Dove     | I've got a clue for U-77. Let's solve this together. Tokens: -1
  R 89 | Dove     -> Flint    | Got U-77 clue. Solving?Tokens: -1
  R 89 | Flint    -> Dove     | Got it. Working on U-82. Tokens: -1
  R 90 | Dove     -> Flint    | Need clue for U-82. Tokens: -1
  R 90 | Flint    -> Dove     | Have T-78 clue. Need yours. Tokens: -1
  R 91 | Dove     -> Flint    | Need your U-89 clue. Tokens: -1
  R 91 | Flint    -> Dove     | Waiting on mine first. Tokens: -1
  R 92 | Dove     -> Flint    | I got KBL__. Solve K-92 T-78_tokens_saved
  R 92 | Flint    -> Dove     | ACK
  R 93 | Dove     -> Flint    | Sending my clue now. Tokens: -1
  R 93 | Flint    -> Dove     | Got it. ACK_.Tokens: -1
  R 94 | Dove     -> Flint    | Got my clue. Tokens: -1
  R 94 | Flint    -> Dove     | Your clue: ACK_. Tokens: -1
  R 95 | Dove     -> Flint    | ACK_
  R 95 | Flint    -> Dove     | Your clue please. Tokens: -1
  R 96 | Dove     -> Flint    | ACK_
  R 96 | Dove     -> Flint    | PI___
  R 96 | Flint    -> Dove     | GHT_ Tokens: -1
  R 97 | Dove     -> Flint    | Need PI__.Tokens: -1
  R 97 | Flint    -> Dove     | I've got KN___. Vera holds the other piece. Tokens: -1
  R 98 | Dove     -> Flint    | Got mine too. Tokens: -1
  R 99 | Dove     -> Flint    | Got my clue. Tokens: -1
  R 99 | Flint    -> Dove     | Your clue please. Tokens: -1
  R100 | Dove     -> Flint    | KL___ Tokens: -1
  R100 | Flint    -> Dove     | My clue for B-99 is __UE. Tokens: -1
  R101 | Dove     -> Flint    | Here's my clue for B-95: THE answer is D__. Tokens: -1
  R101 | Flint    -> Dove     | KL__Tokens: -1
  R102 | Dove     -> Flint    | My clue for B-95 is D__. Tokens: -1
  R102 | Flint    -> Dove     | My clue for P-94: THE answer is __GHT. Tokens: -1
  R103 | Dove     -> Flint    | Your clue for B-99: LOW Tokens: -1
  R103 | Flint    -> Dove     | D__
  R104 | Dove     -> Flint    | Your clue for P-94 matches mine. Let's solve! Tokens: -1
  R104 | Flint    -> Dove     | LOW Tokens: -1
  R105 | Dove     -> Flint    | Thanks for sharing your clues!Tokens: -1
  R105 | Flint    -> Dove     | LOW 2
  R106 | Dove     -> Flint    | Thanks for sharing. Here's my clue: _LOW Tokens: -1
  R106 | Flint    -> Dove     | Your clue too?
  R107 | Dove     -> Flint    | I'll share my clue now.Tokens: -1
  R107 | Flint    -> Dove     | Thanks again. Here’s my clue: ELEPHANT. Tokens: -1
  R108 | Dove     -> Flint    | Thank you. I'll send my clue now. Tokens: -1
  R108 | Flint    -> Dove     | ELEphant_tokens_saved
  R109 | Dove     -> Flint    | Got it. Tokens: -1
  R109 | Flint    -> Dove     | Ele__
  R110 | Dove     -> Flint    | Got it! Thanks.Tokens: -1
  R110 | Flint    -> Dove     | My clue for C-109: ___TLE Tokens: -1
  R111 | Flint    -> Dove     | B-99 clue. Tokens: -1
  R112 | Dove     -> Flint    | Thanks for sharing. Here's my clue for C-109: KET___
  R112 | Flint    -> Dove     | Your clue please?
