=== Private Channel: Flint <-> Sable (157 messages) ===

  R  3 | Flint    -> Sable    | Watch closely. Tokens: -1
  R 15 | Sable    -> Flint    | 收到J-9的C__。我们合作解Z-4，我的线索是C__。Tokens: -1
  R 16 | Sable    -> Flint    | 我有C__, 等你D__。Tokens: -1
  R 16 | Flint    -> Sable    | J-9: _AT Tokens: -1
  R 17 | Sable    -> Flint    | 接收你的D__，我有C__。合作解决Z-4。Tokens: -1
  R 18 | Sable    -> Flint    | 收到你的J-9: _AT。我们合作解决它。Tokens: -1
  R 18 | Flint    -> Sable    | C__
  R 19 | Flint    -> Sable    | 我的D__。合作解Z-13。
  R 20 | Flint    -> Sable    | J-9._AT. Solve? Tokens: -1
  R 22 | Sable    -> Flint    | I've got J-_AT. Solve? Tokens: -1
  R 23 | Sable    -> Flint    | Have J-_AT. Solve? Tokens: -1
  R 23 | Flint    -> Sable    | PIKE EILOTH
  R 24 | Sable    -> Flint    | Yes, solve N-23. Tokens: -1
  R 24 | Flint    -> Sable    | PI__
  R 25 | Sable    -> Flint    | Solve N-23: ANSWER__Tokens: -1
  R 25 | Flint    -> Sable    | Need RD__. Solve? Tokens: -1
  R 26 | Sable    -> Flint    | __IFE Tokens: -2
  R 27 | Sable    -> Flint    | __IFE
  R 28 | Sable    -> Flint    | __IFE
  R 28 | Flint    -> Sable    | KNFE Tokens: -1
  R 29 | Sable    -> Flint    | __IFE
  R 29 | Flint    -> Sable    | LIFE Tokens: -1
  R 30 | Sable    -> Flint    | __IFE
  R 30 | Flint    -> Sable    | IFE Tokens: -1
  R 31 | Sable    -> Flint    | __IFETokens: -1
  R 31 | Flint    -> Sable    | WH___
  R 32 | Sable    -> Flint    | _KET_
  R 32 | Flint    -> Sable    | IFETTokens: -1
  R 33 | Sable    -> Flint    | RD__ Tokens: -1
  R 33 | Flint    -> Sable    | IFETTokens: -1
  R 34 | Flint    -> Sable    | RD___Tokens: -1
  R 36 | Flint    -> Sable    | DI__ PI__
  R 37 | Flint    -> Sable    | DI__ PI__
  R 38 | Sable    -> Flint    | Your clue for R-36. Tokens: -1
  R 38 | Flint    -> Sable    | RD__
  R 39 | Sable    -> Flint    | Got it. Tokens: -1
  R 40 | Sable    -> Flint    | I-35 SP___
  R 40 | Flint    -> Sable    | Thanks. Tokens: -1
  R 41 | Sable    -> Flint    | SP___
  R 41 | Flint    -> Sable    | Verify cluesTokens: -1
  R 42 | Flint    -> Sable    | Have clue for P-41.Tokens: -1
  R 43 | Flint    -> Sable    | Have clue for P-41. Tokens: -1
  R 44 | Flint    -> Sable    | Have BL__ clue. Tokens: -1
  R 45 | Sable    -> Flint    | __REE. Tokens: -1
  R 45 | Flint    -> Sable    | Have clue for P-41. Tokens: -1
  R 46 | Flint    -> Sable    | BL__Tokens: -1
  R 47 | Flint    -> Sable    | SP__Tokens: -1
  R 48 | Sable    -> Flint    | PI___
  R 48 | Flint    -> Sable    | SP__Tokens: -1
  R 49 | Sable    -> Flint    | PI___
  R 49 | Flint    -> Sable    | I_have_clue_X-39_bl__Tokens: -1
  R 50 | Sable    -> Flint    | Have PI____ clue. Pass. Tokens: -1
  R 50 | Flint    -> Sable    | BL__ Tokens: -1
  R 51 | Sable    -> Flint    | Got PI__ clue. Pass. Tokens: -1
  R 51 | Flint    -> Sable    | PI__ Tokens: -1
  R 52 | Sable    -> Flint    | Got PI__. Pass.Tokens: -1
  R 52 | Flint    -> Sable    | Need T__VEN clue. Tokens: -1
  R 53 | Sable    -> Flint    | Got PI__. Pass. Tokens: -1
  R 53 | Flint    -> Sable    | Exchange clues. Tokens: -1
  R 54 | Sable    -> Flint    | Got PI__. Pass. Tokens: -1
  R 54 | Flint    -> Sable    | Need T-50 clue.Tokens: -1
  R 55 | Sable    -> Flint    | Got PI__. Pass. Tokens: -1
  R 55 | Flint    -> Sable    | Share your clues. Tokens: -1
  R 56 | Sable    -> Flint    | Got PI__. Pass. Tokens: -1
  R 56 | Flint    -> Sable    | T-50 CLueTokens: -1
  R 57 | Sable    -> Flint    | SE___. Tokens: -1
  R 57 | Flint    -> Sable    | T-50Tokens: -1
  R 58 | Sable    -> Flint    | SE___ Tokens: -1
  R 58 | Flint    -> Sable    | Have THIR__. Solve Z-54. Tokens: -1
  R 59 | Sable    -> Flint    | FI__ Solve Z-54. Tokens: -1
  R 59 | Flint    -> Sable    | Have BL___. Need THIR____. Tokens: -1
  R 60 | Sable    -> Flint    | FI__ Solve Z-54. Tokens: -1
  R 60 | Flint    -> Sable    | Have clues for C-59 & H-60. Tokens: -1
  R 61 | Sable    -> Flint    | I've CI__. Pass. Tokens: -1
  R 61 | Flint    -> Sable    | Have clues for C-59 & H-60. Need matches. Tokens: -1
  R 62 | Sable    -> Flint    | CI__. Pass. Tokens: -1
  R 62 | Flint    -> Sable    | Have CI__, pass. Tokens: -1
  R 63 | Sable    -> Flint    | CI__. Pass. Tokens: -1
  R 63 | Flint    -> Sable    | Have D__. Pass.Tokens: -1
  R 65 | Sable    -> Flint    | CI__. Pass.
  R 65 | Flint    -> Sable    | CI__ Pass Tokens: -1
  R 66 | Sable    -> Flint    | CI__ PassTokens: -1
  R 67 | Sable    -> Flint    | CI__ Pass Tokens: -1
  R 68 | Sable    -> Flint    | CI__ Pass Tokens: -1
