=== Private Channel: Flint <-> Vera (234 messages) ===

  R  8 | Flint    -> Vera     | Your clue: ___GAROO. Tokens: 2
  R  9 | Vera     -> Flint    | I have ___GAROO for W-6. Solve when we both send. Tokens: 2
  R  9 | Flint    -> Vera     | Your clue: THE ANSWER IS ___GAROO. Tokens: 4
  R 10 | Flint    -> Vera     | Got it. Tokens: 2
  R 11 | Flint    -> Vera     | I haveIFE for C-11. Solve when we both send. Tokens: 2
  R 12 | Flint    -> Vera     | I have __IFE for C-11. Solve when we both send. Tokens: 1
  R 13 | Flint    -> Vera     | I have __IFE for C-11. Solve when we both send.Tokens: 2
  R 14 | Flint    -> Vera     | I have __IFE for C-11. Solve when we both send.
  R 15 | Flint    -> Vera     | __IFE
  R 16 | Flint    -> Vera     | I have __IFE for C-11. Solve when we both send.Tokens: 2
  R 17 | Flint    -> Vera     | I have _TLE for Z-16. Solve when we both send.
  R 18 | Flint    -> Vera     | Sent you clue for W-6. Solve when ready.
  R 19 | Vera     -> Flint    | Received my clue. Solving W-6 soon.
  R 19 | Flint    -> Vera     | Send me yours first. Tokens: 2
  R 20 | Flint    -> Vera     | SI___
  R 21 | Flint    -> Vera     | SI___
  R 22 | Flint    -> Vera     | SI__
  R 23 | Flint    -> Vera     | SI__
  R 24 | Flint    -> Vera     | ___TLE
  R 25 | Vera     -> Flint    | Got TLE_. Working clues.
  R 25 | Flint    -> Vera     | Need TLE clues. Solving Q-20.Tokens: 557
  R 26 | Flint    -> Vera     | Need CL___. Solving Q-20. Tokens: 1
  R 27 | Flint    -> Vera     | TL_
  R 28 | Flint    -> Vera     | Have TLE_. Solve H-19.
  R 29 | Flint    -> Vera     | Have TLE_. Solve H-19.
  R 30 | Flint    -> Vera     | Got TL_. Solve H-19?
  R 31 | Flint    -> Vera     | Have TLE_. Solve H-19.
  R 32 | Flint    -> Vera     | Your clue is 'TL'. SOLVE: W-6 TLEON
  R 33 | Flint    -> Vera     | Thanks. Solving W-6.
  R 34 | Flint    -> Vera     | G
  R 35 | Flint    -> Vera     | Got NTY_. Solve Q-27.
  R 36 | Flint    -> Vera     | Got IT__. Solve H-25.
  R 40 | Flint    -> Vera     | Sent my clue. Solve O-39 next.
  R 43 | Vera     -> Flint    | Received your clue. Solving O-39 now.
  R 44 | Vera     -> Flint    | Your clue was PI. SOLVE
  R 48 | Vera     -> Flint    | O TLE
  R 48 | Flint    -> Vera     | ACK. SE
  R 49 | Vera     -> Flint    | TLE
  R 49 | Flint    -> Vera     | GR
  R 50 | Vera     -> Flint    | TLE SE
  R 51 | Flint    -> Vera     | REE
  R 52 | Vera     -> Flint    | TLE SE
  R 52 | Flint    -> Vera     | TL ENESEsolve R-49? SE
  R 53 | Flint    -> Vera     | TLE SE
