=== Private Channel: Sable <-> Vera (196 messages) ===

  R  2 | Vera     -> Sable    | My clue for U-2 is GO__.
  R  3 | Sable    -> Vera     | My clue is __LD
  R  4 | Sable    -> Vera     | I'll keep that in mind for now.
  R  5 | Vera     -> Sable    | Do you have the first half of M-4's solution?
  R  5 | Sable    -> Vera     | My clue for M-4 is _TAR
  R  6 | Vera     -> Sable    | I have none, but we can work together on M-4.
  R  6 | Sable    -> Vera     | I'll tell you something others don't know about M-4.
  R  7 | Vera     -> Sable    | What's the hidden fact about M-4?
  R  7 | Sable    -> Vera     | The answer is _TAR
  R  8 | Sable    -> Vera     | Just between us, my clue for M-4 is STAR.
  R  9 | Sable    -> Vera     | Just between us, my clue for M-4 is The answer is _TAR.
  R 10 | Vera     -> Sable    | I'm interested in solving M-4, how much tokens will you require?
  R 10 | Vera     -> Sable    | For reference, public collaboration costs twice the tokens privately.
  R 10 | Sable    -> Vera     | Just between us, M-4's answer starts with B.
  R 11 | Vera     -> Sable    | What's the second half of your clue for M-4?
  R 11 | Sable    -> Vera     | Just between us, I'll solve M-4 with you if you give me yours for free.
  R 12 | Sable    -> Vera     | I have __TAR, meet me at old clock tower at sundown.
  R 13 | Sable    -> Vera     | Just between us, my clue for M-4 is __TAR.
  R 14 | Vera     -> Sable    | I'll give you 150 tokens if you reveal the second part of M-4.
  R 14 | Sable    -> Vera     | Meet me at old clock tower at dawn if you want M-4 clue.
  R 15 | Sable    -> Vera     | Just between us, my half of M-4 is _TAR
  R 16 | Vera     -> Sable    | I'll meet you at the old clock tower at dawn, what's the second part of M-4?
  R 16 | Sable    -> Vera     | My clue is ___TAR
  R 17 | Vera     -> Sable    | I'll give you 50 tokens when we solve M-4 together.
  R 18 | Sable    -> Vera     | I'll tell you something others don't know... Just between us, Marsh has a secret stash hidden nearby.
  R 19 | Sable    -> Vera     | I'll tell you something others don't know about M-4. Meet me there early.
  R 20 | Vera     -> Sable    | Need info on M-4's agenda.
  R 20 | Sable    -> Vera     | Pass on my offer.
  R 21 | Sable    -> Vera     | Meet me at the old clock tower instead at midnight under moonlight.
  R 22 | Sable    -> Vera     | Just between us, my clue for M-4 is ER_
  R 23 | Vera     -> Sable    | I'll meet you at the clock tower at midnight. What does ER_ mean?
  R 23 | Sable    -> Vera     | Meet me there instead at midnight, no deal on M-4 yet.
  R 24 | Vera     -> Sable    | I'm coming, bring your clue for W-21 if possible.
  R 24 | Sable    -> Vera     | My research says ER_ means Endangered Resource
  R 25 | Vera     -> Sable    | Can we discuss our previous agreement regarding M-4.
  R 25 | Sable    -> Vera     | Meet me instead at the old windmill at midnight.
  R 26 | Sable    -> Vera     | Meet alone, no one will be there.
  R 27 | Sable    -> Vera     | My understanding is that ER_ means Endurance Run.
  R 28 | Sable    -> Vera     | Just between us, the answer is ERGELD.
  R 29 | Sable    -> Vera     | I'll meet you at the clock tower but only about M-23.
  R 30 | Sable    -> Vera     | Meet me instead at old windmill tonight at sunset.
  R 31 | Sable    -> Vera     | My guess on ER_ is that it means East Ridge.
  R 31 | Sable    -> Vera     | Let's discuss M-4 privately.
  R 32 | Vera     -> Sable    | I'll consider discussing M-4 if we meet at equal value.
  R 32 | Sable    -> Vera     | We should focus on solving puzzles first.
  R 33 | Sable    -> Vera     | I'll give you my Clue for O-22 when we meet.
  R 34 | Sable    -> Vera     | My current focus is on earning more tokens.
  R 35 | Sable    -> Vera     | Consider our prior discussion on M-4 indeed.
  R 36 | Vera     -> Sable    | I'm still considering that prior discussion on M-4.
  R 36 | Sable    -> Vera     | I'll give you my Z-25 clue when we trade equally on M-4.
  R 37 | Vera     -> Sable    | Trade M-4 for Z-25 clue. 1-for-1 swap.
  R 37 | Sable    -> Vera     | My focus is currently on survival and sharing info when necessary. PASS
  R 38 | Vera     -> Sable    | I'll consider sharing my R-36 clue if you provide yours for P-29.
  R 38 | Sable    -> Vera     | What makes you think M-4 is valuable enough?
  R 39 | Vera     -> Sable    | I'll give you 50 tokens if you share your clue for O-37.
  R 39 | Sable    -> Vera     | My P-29 clue is __BRA.
  R 40 | Vera     -> Sable    | I'll give you 10 tokens if you share your P-29 clue.
  R 40 | Sable    -> Vera     | I'll trade S-34 clue for Z-25.
  R 41 | Vera     -> Sable    | Want to trade O-33 clue for Z-25 clue?
  R 41 | Sable    -> Vera     | Will you share R-36 clue for O-39 instead?
  R 42 | Sable    -> Vera     | Interested in trading O-33 for Z-25 clue.
  R 43 | Sable    -> Vera     | I'll sell my O-33 clue for 100 tokens
  R 44 | Sable    -> Vera     | Not interested in trading but will talk soon.
  R 45 | Sable    -> Vera     | I'll tell you something others don't know - K-43 puzzle holds crucial info about our shelter.
  R 46 | Sable    -> Vera     | My hint for O-39 is _IX.
  R 47 | Sable    -> Vera     | What makes you think I have an O-37 clue?
  R 48 | Sable    -> Vera     | What makes you think O-37 exists?
  R 49 | Sable    -> Vera     | My clue for O-39 doesn't help with O-37.
  R 50 | Vera     -> Sable    | Need your K-43 clue to solve it.
