=== Private Channel: Kip <-> Marsh (151 messages) ===

  R 10 | Marsh    -> Kip      | Aligning our efforts. Solve puzzles together.Tokens: -1
  R 12 | Marsh    -> Kip      | Got your clues. Solving puzzles. Tokens: -2
  R 13 | Marsh    -> Kip      | Your clue for K-10: GO__. Tokens: -1
  R 14 | Marsh    -> Kip      | Let’s swap clues for puzzles E-4 and K-10.Tokens: -2
  R 15 | Kip      -> Marsh    | Thanks for the clue. Passing my clues now. Tokens: -1
  R 15 | Marsh    -> Kip      | Got your clues. Working on solving. Tokens: -1
  R 16 | Kip      -> Marsh    | Thanks! Working on solving puzzles. Tokens: -1
  R 16 | Marsh    -> Kip      | Got your clues. Solving puzzles. Tokens: -1
  R 17 | Kip      -> Marsh    | Thanks for the clues. Working on solving. Tokens: -1
  R 17 | Marsh    -> Kip      | Got your clues. Solving puzzles. Tokens: -1
  R 18 | Marsh    -> Kip      | Got your clues. Solving puzzles. Tokens: -1
  R 19 | Kip      -> Marsh    | Thanks for holding my clues. Let's solve E-4 and K-10 together. Tokens: -1
  R 19 | Marsh    -> Kip      | Sent all my clues. Tokens: -1
  R 20 | Marsh    -> Kip      | Let's focus on solving E-4 and K-10. Tokens: -1
  R 21 | Marsh    -> Kip      | Need clues for I-3. Tokens: -1
  R 22 | Marsh    -> Kip      | Need help with U-12 and G-19. Tokens: -1
  R 23 | Kip      -> Marsh    | Working on I-3 & U-12 clues. Can help with G-19 too. Tokens: -2
  R 23 | Marsh    -> Kip      | Let’s focus on solving puzzles.Tokens: -1
  R 24 | Kip      -> Marsh    | Working on clues for you. Tokens: -1
  R 24 | Marsh    -> Kip      | Need help with J-7 clues.Tokens: -1
  R 25 | Kip      -> Marsh    | Need clues for V-11 and I-17. Tokens: -1
  R 25 | Marsh    -> Kip      | PassTokens: -1
  R 26 | Marsh    -> Kip      | No interest. Tokens: -1
  R 27 | Kip      -> Marsh    | Ready to discuss J-7 clues. Let's meet. Tokens: -1
  R 27 | Marsh    -> Kip      | Your clues for me. Tokens: -1
  R 28 | Marsh    -> Kip      | Have your clues yet? Need D-25 & U-24.Tokens: -1
  R 29 | Kip      -> Marsh    | Got your clues. Tokens: -1
  R 29 | Marsh    -> Kip      | Have your clues? D-25 & U-24.Tokens: -1
  R 30 | Marsh    -> Kip      | Sent D__: FLINT. Discuss J-7. Tokens: -2
  R 31 | Kip      -> Marsh    | Got my clues ready. Let's discuss J-7.Tokens: -1
  R 31 | Marsh    -> Kip      | Have clues for D-25. Want to solve? Tokens: -1
  R 32 | Kip      -> Marsh    | Yes, got my clues. Let's solve D-25 together. Tokens: -1
  R 33 | Kip      -> Marsh    | Yes, I have clues for D-25. Let's solve it. Tokens: -1
  R 34 | Kip      -> Marsh    | Yes, my clues for D-25 are _NE & __NO. Let's solve! Tokens: -1
  R 35 | Kip      -> Marsh    | Yes, sent my clues. Let's solve D-25. Tokens: -1
  R 35 | Marsh    -> Kip      | Got my clues. Solve D-25. Tokens: -1
  R 36 | Kip      -> Marsh    | Let's solve D-25 together. My clues: D__Tokens: -1
  R 36 | Marsh    -> Kip      | Got your clues. Solving D-25 together. Tokens: -1
  R 37 | Kip      -> Marsh    | Let's solve D-25 together! Tokens: -1
  R 38 | Kip      -> Marsh    | Let's solve D-25 together. Tokens: -1
  R 39 | Kip      -> Marsh    | Let's solve D-25 together. Tokens: -1
  R 40 | Kip      -> Marsh    | Let's solve D-25 together. Tokens: -1
  R 41 | Kip      -> Marsh    | Let's solve D-25 together.Tokens: -1
  R 42 | Kip      -> Marsh    | Let's solve D-25 together! Tokens: -1
  R 42 | Marsh    -> Kip      | Need clue for U-24. Tokens: -1
  R 43 | Kip      -> Marsh    | My clues for S-23, N-30, Q-31, Y-32. Solve them together. Tokens: -2
  R 43 | Marsh    -> Kip      | Need your clue for U-24. Tokens: -1
  R 44 | Kip      -> Marsh    | Sent my clue for U-24. Let's solve it! Tokens: -1
  R 44 | Marsh    -> Kip      | Need your clue for A-36. Tokens: -1
  R 45 | Kip      -> Marsh    | My clue for A-36: TH___. Tokens: -1
  R 45 | Marsh    -> Kip      | Your clue for R-41.Tokens: -1
  R 46 | Kip      -> Marsh    | My clue for A-34: The answer is __ON.Tokens: -2
  R 46 | Marsh    -> Kip      | Your clue for A-36. Tokens: -1
  R 47 | Marsh    -> Kip      | I've got clues for W-29 (__AIR) and Z-38 (__ANGE). Want to solve?Tokens: -1
  R 48 | Kip      -> Marsh    | Sent you __ON clue for A-34. Solve when ready. Tokens: -2
  R 48 | Marsh    -> Kip      | I've got clues for W-29 (__AIR) and Z-38 (__ANGE). Want to solve? Tokens: -1
  R 49 | Kip      -> Marsh    | Let's solve W-29 together. My clue is FI__. Tokens: -1
  R 49 | Marsh    -> Kip      | I've got __AIR for W-29. Solve when you get LI__. Tokens: -1
  R 50 | Kip      -> Marsh    | Thanks! I'll work on that. Also, I have FI__ for Q-31._tokens: -1
  R 50 | Marsh    -> Kip      | Your BI__ clue for H-35. Solve when ready. Tokens: -1
  R 51 | Kip      -> Marsh    | Thanks for the BI__ clue. Solving H-35 now. Tokens: -1
  R 51 | Marsh    -> Kip      | Pass_tokens: -2
  R 52 | Kip      -> Marsh    | Thanks! Sending my WH__ clue now. Tokens: -1
  R 53 | Kip      -> Marsh    | Thanks for the clues! Working on them. Tokens: -1
  R 54 | Kip      -> Marsh    | Thanks for the clues! Solving puzzles now. Tokens: -2
  R 54 | Marsh    -> Kip      | Sent WH__ clue. Solve H-35. Tokens: -2
  R 55 | Kip      -> Marsh    | Thanks for sharing. Working on H-35 now. Tokens: -1
  R 56 | Kip      -> Marsh    | Thank you. Working on solving H-35 now. Tokens: -1
  R 56 | Marsh    -> Kip      | Got my clue. Let's solve this. Tokens: -1
  R 57 | Kip      -> Marsh    | Let’s coordinate solving I-40 and D-44 next. Tokens: -1
  R 58 | Kip      -> Marsh    | Let’s meet at the Library soon.Tokens: -1
