=== Private Channel: Sable <-> Vera (175 messages) ===

  R  1 | Sable    -> Vera     | Just between us, look closer at old maps.Marsh
  R  2 | Sable    -> Vera     | The answer is D__.marsh
  R  2 | Vera     -> Sable    | Thanks. Will discuss map details with Kip..Flint
  R  3 | Sable    -> Vera     | Got your clue. Working on it. Sable
  R  3 | Vera     -> Sable    | Got D__ clue. Working on B-3.
  R  4 | Sable    -> Vera     | Have D__ clue for B-3. Expect response. Sable
  R  5 | Sable    -> Vera     | Have D__ clue for G-1. Want to collaborate?
  R  5 | Vera     -> Sable    | Thanks for sharing D__ clue. Working on B-3. V
  R  6 | Sable    -> Vera     | Have D__ clue for G-1. Want to solve?
  R  6 | Vera     -> Sable    | Thanks. Working on G-1 with your clue. V
  R  7 | Sable    -> Vera     | Have D__ clue for G-1. Work on it together. S
  R  7 | Vera     -> Sable    | Need G-1 clue. Will share mine.
  R  8 | Sable    -> Vera     | Got D__ clue. Working on G-1. Whta's ur guess?
  R  9 | Sable    -> Vera     | Got G-1 clue. Working on it. W
  R  9 | Vera     -> Sable    | I have clues for F-4 and W-5. Want to solve?
  R 10 | Sable    -> Vera     | Your clue for G-1 please. V
  R 11 | Sable    -> Vera     | Great! Got clues for G-1 & D-8. Let’s swap. S
  R 12 | Sable    -> Vera     | Got clues for G-1, D-8, P-10, X-12. Interested?
  R 12 | Vera     -> Sable    | Need your clue for G-1. S
  R 13 | Sable    -> Vera     | Let's collaborate. Here’s my clue for G-1: The answer is D__.
  R 14 | Sable    -> Vera     | Interested in solving F-4. What are the clues?
  R 15 | Sable    -> Vera     | Interested in F-4 & W-5 solutions. Share your clues. Just between us.
  R 15 | Vera     -> Sable    | Waiting on my clue for F-4. V
  R 16 | Vera     -> Sable    | F-4: THE ANSWER IS __OCK. Waiting on your clue.
  R 17 | Sable    -> Vera     | Got it. F-4: THE ANSWER IS ROCK. Solve?
  R 18 | Sable    -> Vera     | I've got P-15: WH.___. Expect yours soon. Just between us.
  R 19 | Vera     -> Sable    | Your clue for P-9 is WATERS__. Solve?
  R 20 | Sable    -> Vera     | Your clue for E-14 is PHANTOM. Just between us.
  R 20 | Vera     -> Sable    | Your clue for E-14: ELE___
  R 21 | Vera     -> Sable    | Received PHANTOM. Preparing my clue now.
  R 22 | Vera     -> Sable    | Received PHANTOM. Confirm when you can swap.
  R 23 | Vera     -> Sable    | Thanks for sharing. Working on T-11.
  R 26 | Sable    -> Vera     | Got my end of our clues. Solving V-25.ZE__
  R 27 | Vera     -> Sable    | Confirming V-25.
  R 28 | Sable    -> Vera     | Got L-18 clue (__OK). Waiting for yours.
