=== Private Channel: Flint <-> Sable (179 messages) ===

  R  5 | Flint    -> Sable    | Need ELE___ clue. Tokens: -1
  R  6 | Flint    -> Sable    | Need ELE_____ clue.Tokens: -1
  R  7 | Sable    -> Flint    | Have S-4 clue. Meet archives post-round. Tokens: -1
  R  8 | Sable    -> Flint    | Got S-4 clue. Meet at archives post-round. Tokens: -1
  R  9 | Sable    -> Flint    | Have S-4. Archives meet-up confirmed. Tokens: -1
  R  9 | Flint    -> Sable    | Ready.Meet archives. Tokens: -1
  R 10 | Sable    -> Flint    | Need T-7 clue: __ON Tokens: -1
  R 10 | Flint    -> Sable    | Confirm meeting details. Tokens: -1
  R 11 | Sable    -> Flint    | Confirm meeting time. Tokens: -1
  R 11 | Flint    -> Sable    | I have DRED clue for E-5. Tokens: -1
  R 12 | Sable    -> Flint    | Need E-5 clue from DRED. Tokens: -1
  R 12 | Flint    -> Sable    | Meet at dusk. Tokens: -1
  R 13 | Sable    -> Flint    | Got it. Tokens: -1
  R 13 | Flint    -> Sable    | Have E-5 clue.Tokens: -1
  R 14 | Sable    -> Flint    | Meeting at dusk. Tokens: -1
  R 14 | Flint    -> Sable    | Need clue for E-5. Tokens: -1
  R 15 | Sable    -> Flint    | Have T-7 & S-12 clues. Tokens: -1
  R 16 | Sable    -> Flint    | T-7: __ON. S-12: _AT. Tokens: -1
  R 17 | Sable    -> Flint    | Got clues. T-7: __ON. S-12: _AT. Tokens: -1
  R 18 | Sable    -> Flint    | Have your clues. Tokens: -1
  R 18 | Flint    -> Sable    | T-7: __NK Tokens: -1
  R 19 | Flint    -> Sable    | K-19: _____TEEN
  R 20 | Flint    -> Sable    | K-19: _____TEEN.Tokens: -1
  R 21 | Flint    -> Sable    | Q-15: __RD Tokens: -1
  R 22 | Flint    -> Sable    | RD NK TEENTokens: -3
  R 23 | Flint    -> Sable    | RD TEENTokens: -1
  R 28 | Flint    -> Sable    | NK
  R 30 | Flint    -> Sable    | Need X-27 clue. Tokens: -1
  R 35 | Sable    -> Flint    | Got G-28 clue. Solving it now. Tokens: -1
