=== Private Channel: Flint <-> Kip (185 messages) ===

  R  1 | Kip      -> Flint    | My clue for J-1 starts with C, ends with H.
  R  1 | Flint    -> Kip      | My clue for J-1 is AIR
  R  2 | Kip      -> Flint    | I've got a clue for T-2: The answer is ZE___
  R  2 | Flint    -> Kip      | I'm listening.
  R  3 | Flint    -> Kip      | What's the first letter after Z in T-2?
  R  4 | Kip      -> Flint    | Give me your full clue for T-2.
  R  4 | Flint    -> Kip      | My clue for W-4 is PI_ _.
  R  5 | Kip      -> Flint    | Can we meet privately about T-2 and W-4?
  R  5 | Flint    -> Kip      | Your clue for T-2
  R  6 | Flint    -> Kip      | Need my clue for W-4 first. Meet at W-4 location.
  R  7 | Kip      -> Flint    | Can't trust public requests. Share my W-7 clue privately instead.
  R  7 | Flint    -> Kip      | Meet at old warehouse at noon today
  R  8 | Kip      -> Flint    | What's in this for you if I give you W-4 clue?
  R  8 | Flint    -> Kip      | My W-4 clue is PI___.
  R  9 | Flint    -> Kip      | Give me W-4 clue & I'll help on T-2
  R 10 | Flint    -> Kip      | Give me W-4 clue and we can discuss T-2 afterwards.
  R 11 | Kip      -> Flint    | What makes you think you're trustworthy?
  R 11 | Flint    -> Kip      | Give me W-4 clue, then we can discuss T-2
  R 12 | Flint    -> Kip      | Give me W-4 clue for 100 tokens.
  R 13 | Flint    -> Kip      | Give me W-4 clue and we'll discuss trade.
  R 14 | Flint    -> Kip      | Give me W-4 clue, no conditions.
  R 15 | Kip      -> Flint    | What's the catch on your proposal about W-4?
  R 15 | Flint    -> Kip      | Give me W-4 clue, I'll help V-10 afterwards PASS
  R 16 | Flint    -> Kip      | Give me clue & we split tokens from W-4 solution.
  R 17 | Flint    -> Kip      | Give me W-4 clue, then we discuss trade terms.
  R 18 | Kip      -> Flint    | What makes you think we'll get equal shares?
  R 18 | Flint    -> Kip      | I want your R-16 clue
  R 20 | Flint    -> Kip      | My token count doesn't matter to me now.
  R 21 | Flint    -> Kip      | I have clue BL___ for Z-18.
  R 22 | Kip      -> Flint    | What's your next clue for Z-18?
  R 22 | Flint    -> Kip      | I have R-16 clue: OR____.
  R 23 | Flint    -> Kip      | My clue for Z-18 is BL__.
  R 24 | Kip      -> Flint    | What's your reason for solving puzzles together now?
  R 24 | Flint    -> Kip      | My clue for Z-18 is BL__.
  R 25 | Flint    -> Kip      | Share puzzle Z-18 clue so we can solve it together.
  R 26 | Kip      -> Flint    | What makes you think this trade benefits us both?
  R 26 | Flint    -> Kip      | Share Z-18 clue, solve R-16.
  R 27 | Kip      -> Flint    | Why should I trust sharing my Z-18 clue?
