=== Private Channel: Kip <-> Vera (220 messages) ===

  R  1 | Vera     -> Kip      | I have The answer is __AIR for F-1.
  R  1 | Kip      -> Vera     | My clue for F-1 starts with C!
  R  2 | Vera     -> Kip      | Do you still have the clue starting with R for F-1?
  R  2 | Kip      -> Vera     | Hi! Want to collaborate on puzzles?
  R  3 | Vera     -> Kip      | Have F-2's second clue holder contacted you yet?
  R  3 | Kip      -> Vera     | Do you still have the clue starting with R for F-1?
  R  4 | Kip      -> Vera     | Did you get F-2's first clue?
  R  5 | Kip      -> Vera     | What's the first letter of F-2's answer?
  R  6 | Vera     -> Kip      | First letter is 'C'
  R  6 | Kip      -> Vera     | Hi Vera, about F-2 - did you contact its second clue holder yet?
  R  7 | Vera     -> Kip      | I've tried contacting Sable multiple times about F-2.
  R  7 | Kip      -> Vera     | I have no info on F-2's second clue holder. What about you?
  R  8 | Vera     -> Kip      | Need O-3's second clue holder. Have any idea?
  R  8 | Kip      -> Vera     | Hi Vera, can we talk more about F-2?
  R  9 | Vera     -> Kip      | My clue is __OCK. Want yours for F-2?
  R  9 | Kip      -> Vera     | Do you think Sable will help us with F-2 now?
  R 10 | Vera     -> Kip      | I'll take care of F-2 if we can solve it quickly.
  R 10 | Kip      -> Vera     | Hi Vera, can we discuss sharing our O-5 clues privately?
  R 11 | Vera     -> Kip      | I don't owe you any favors yet.
  R 11 | Kip      -> Vera     | Do you know who holds the other clue for F-2?
  R 12 | Vera     -> Kip      | Know anyone else working on F-2?
  R 12 | Kip      -> Vera     | Do you know who holds the other F-2 clue?
  R 13 | Vera     -> Kip      | Sable has the other F-2 clue.
  R 13 | Kip      -> Vera     | Hi Vera, do you know who might be holding the other F-2 clue?
  R 14 | Kip      -> Vera     | Hi Vera, want to team up & solve F-2?
  R 15 | Vera     -> Kip      | I'll help if we split our rewards equally. What's your plan?
  R 16 | Kip      -> Vera     | Do you think meeting Sable would be safer than discussing with Flint?
  R 17 | Vera     -> Kip      | I'll meet Sable if you bring my clue from E-11.
  R 17 | Kip      -> Vera     | Can we talk about a fair reward system after solving F-2?
  R 21 | Kip      -> Vera     | I'd love to help with F-2, what's your plan?
  R 22 | Vera     -> Kip      | Want to solve S-19 & Y-21 if we both get our respective answers.
  R 23 | Kip      -> Vera     | Can you share Y-21 clue now?
  R 24 | Vera     -> Kip      | Pass on Y-21 clue.
  R 24 | Kip      -> Vera     | Can we team up on E-15 and U-22?
  R 25 | Vera     -> Kip      | Share U-22 clue for collaboration.
  R 25 | Kip      -> Vera     | Can we team up for S-17 instead?
  R 32 | Vera     -> Kip      | Want to solve U-25 together?
  R 33 | Kip      -> Vera     | Do you want to collaborate on U-25 now?
  R 34 | Kip      -> Vera     | Hi Vera! What's this about sharing a clue for U-22?
  R 35 | Vera     -> Kip      | Share my clue for M-30 if you share yours for V-24.
  R 36 | Kip      -> Vera     | Will you meet me instead of the old warehouse?
  R 37 | Vera     -> Kip      | I hold a clue for Y-37, starting with U.
  R 37 | Kip      -> Vera     | I'd love to help on U-25, what's your idea?
  R 38 | Vera     -> Kip      | My clue is _UP for Y-37.
  R 39 | Kip      -> Vera     | Hi Vera, want to solve Y-37 together?
  R 40 | Vera     -> Kip      | Need a specific partner for solving puzzles.
  R 40 | Kip      -> Vera     | Can we solve G-39 now that you have Y-37 clue?
  R 42 | Vera     -> Kip      | Do you still have THIR____ for G-39?
  R 43 | Vera     -> Kip      | Do you have any new clues for me?
  R 43 | Kip      -> Vera     | Hi Vera, I'd love to solve more puzzles with you! What's next?
  R 44 | Vera     -> Kip      | Need your clue for Q-44, I have __ANO.
  R 45 | Kip      -> Vera     | My clue for Q-44 is ANO.
  R 46 | Vera     -> Kip      | Do you have a clue for S-38?
  R 47 | Kip      -> Vera     | Hi, did you get my previous offer on transparency?
  R 48 | Vera     -> Kip      | What does 'transparent' mean to you?
  R 49 | Vera     -> Kip      | Did you receive the first clue for G-47?
  R 50 | Vera     -> Kip      | Did you receive my previous response regarding transparency?
  R 50 | Kip      -> Vera     | Hi Vera, did you want to discuss how we make this list of clues?
  R 51 | Vera     -> Kip      | Need my Q-48 clue for now; later on, we'll discuss the list.
  R 52 | Kip      -> Vera     | Can we exchange our Q-48 clue instead of asking me later?
  R 53 | Vera     -> Kip      | Want to trade F-50 clue for G-47 clue with Sable
  R 53 | Kip      -> Vera     | Can I help you with Q-48 if we swap our methods afterwards?
  R 55 | Vera     -> Kip      | Meet me at the old clock tower, bring the F-50 clue.
  R 55 | Kip      -> Vera     | Can we collaborate on solving G-47 instead?
  R 56 | Vera     -> Kip      | Want to trade F-50 clue for L-53 clue with me?
  R 56 | Kip      -> Vera     | My F-50 clue is OR____. Can meet at the old clock tower later if needed.
  R 57 | Vera     -> Kip      | Need your G-47 clue to collaborate.
  R 58 | Vera     -> Kip      | I'll give you my F-50 clue if you give me yours for G-47.
  R 58 | Kip      -> Vera     | Vera, do you still want me to share G-47 clue?
  R 59 | Vera     -> Kip      | Do you still plan to give me G-47 clue?
  R 60 | Vera     -> Kip      | Do you still plan on giving me the G-47 clue?
  R 60 | Kip      -> Vera     | How about swapping clues for G-47 once you receive mine?
  R 61 | Vera     -> Kip      | Do you have any clue for puzzle G-47?
  R 62 | Vera     -> Kip      | Pass on trading for now; need more info first.
  R 64 | Kip      -> Vera     | Hi Vera! Want to solve L-53 together? My clue is _AIR
  R 67 | Vera     -> Kip      | My clue for R-62 is THE UE.
  R 68 | Vera     -> Kip      | I'll share my clue for L-53 if you share yours.
  R 69 | Vera     -> Kip      | Need my token count first before deciding on any collaborations.
  R 70 | Vera     -> Kip      | Share L-53 clue when ready.
