=== Private Channel: Flint <-> Sable (205 messages) ===

  R  2 | Flint    -> Sable    | Have CL___ for L-2.
  R  3 | Flint    -> Sable    | Give me clue for L-2
  R  5 | Flint    -> Sable    | Need clue for L-2.
  R  6 | Sable    -> Flint    | Looking into L-2.
  R  6 | Flint    -> Sable    | Give me your L-2 clue.
  R  7 | Sable    -> Flint    | Waiting for your clue.
  R  7 | Flint    -> Sable    | What's on L-2?
  R  8 | Sable    -> Flint    | Your L-2 clue is WET.
  R  8 | Flint    -> Sable    | I have O-8 clue.
  R  9 | Flint    -> Sable    | My clue for O-8 is The answer is _VEN.
  R 10 | Flint    -> Sable    | My L-2 clue is FOG
  R 11 | Flint    -> Sable    | I have O-8 clue: The answer is _VEN.
  R 12 | Flint    -> Sable    | I have O-8 clue: The answer is _VEN
  R 13 | Flint    -> Sable    | My O-8 clue is _VEN
  R 14 | Sable    -> Flint    | Your clue is CONFIDENTIAL.
  R 14 | Flint    -> Sable    | My L-2 clue is LAND
  R 15 | Flint    -> Sable    | My O-8 clue is _VEN
  R 16 | Sable    -> Flint    | Our O-8 clue.
  R 16 | Flint    -> Sable    | I have FI__ for R-13.
  R 17 | Sable    -> Flint    | FI__
  R 17 | Flint    -> Sable    | My clue is THEVEN.
  R 18 | Flint    -> Sable    | The answer is __VEN
  R 19 | Sable    -> Flint    | __VEN
  R 20 | Sable    -> Flint    | Thanks for sharing! Our clues match: THEVEN.
  R 20 | Flint    -> Sable    | My O-8 clue is __VEN
  R 21 | Flint    -> Sable    | My clue for G-12 is C__
  R 22 | Sable    -> Flint    | Our clues align. Solve G-12 together.
  R 22 | Flint    -> Sable    | I have C__ for G-12.
  R 23 | Sable    -> Flint    | Need C__ for G-12.
  R 23 | Flint    -> Sable    | I have C_.
  R 24 | Sable    -> Flint    | Need your clues for F-9 and Z-4.
  R 24 | Flint    -> Sable    | The answer is C__
  R 25 | Sable    -> Flint    | Solving R-20 together.
  R 27 | Flint    -> Sable    | The answer is OR_____
  R 28 | Sable    -> Flint    | Collaboration offer received. Let’s solve F-26 together.
  R 28 | Flint    -> Sable    | My clue for F-26 is S__.
  R 28 | Flint    -> Sable    | Consider sharing K-22 clue with me
  R 29 | Sable    -> Flint    | Need your clue for K-22.
  R 30 | Sable    -> Flint    | Your clue for B-24?
  R 30 | Flint    -> Sable    | The answer is C__
  R 31 | Flint    -> Sable    | The answer is C_
  R 32 | Flint    -> Sable    | C__
  R 33 | Sable    -> Flint    | CI__
  R 33 | Flint    -> Sable    | The answer is C__
  R 34 | Flint    -> Sable    | My clue for B-24 is ON.
  R 35 | Sable    -> Flint    | Your clue for B-24 is ON. Mine is LI__. Solve B-24.
  R 35 | Flint    -> Sable    | My clue is THEON.
  R 39 | Flint    -> Sable    | My G-33 clue is ___GAROO
  R 40 | Sable    -> Flint    | My G-33 clue is TREE.
  R 40 | Flint    -> Sable    | My clue for Y-29 is DO___
  R 41 | Flint    -> Sable    | TreeGaroo
  R 42 | Flint    -> Sable    | My E-32 clue is R_
  R 43 | Flint    -> Sable    | Tree
  R 44 | Sable    -> Flint    | Our clues?
  R 44 | Flint    -> Sable    | TREE
  R 45 | Sable    -> Flint    | Thanks. Working on O-34.
  R 45 | Flint    -> Sable    | TREE
  R 46 | Flint    -> Sable    | My I-38 clue is EI__.
  R 47 | Flint    -> Sable    | TREE
  R 48 | Flint    -> Sable    | I have EI___ for I-38.
  R 50 | Flint    -> Sable    | Need your O__ clue for N-50.
  R 51 | Sable    -> Flint    | O__
  R 51 | Flint    -> Sable    | O_
  R 52 | Sable    -> Flint    | O__
  R 53 | Sable    -> Flint    | O__
  R 53 | Flint    -> Sable    | I have clue KET____ for Z-49.
  R 54 | Sable    -> Flint    | KET____
  R 54 | Flint    -> Sable    | O_
  R 55 | Sable    -> Flint    | KET____
  R 56 | Sable    -> Flint    | KET____
  R 57 | Sable    -> Flint    | KET____
  R 57 | Sable    -> Flint    | Check if it fits.
  R 57 | Flint    -> Sable    | My clue for Z-49 is KET__.
  R 58 | Sable    -> Flint    | O_
  R 58 | Sable    -> Flint    | Check J-48 clues.
  R 58 | Flint    -> Sable    | My clue is KET__.
  R 59 | Sable    -> Flint    | O_
  R 59 | Sable    -> Flint    | KET__
  R 60 | Sable    -> Flint    | Your clue for Z-49 is O_.
  R 60 | Sable    -> Flint    | KET__ is mine. Solve if possible.
  R 60 | Flint    -> Sable    | Share R57 clue.
  R 61 | Sable    -> Flint    | Thanks for the heads up. I'll work on that.
  R 61 | Flint    -> Sable    | My clue for Z-49 is KET__.
  R 62 | Sable    -> Flint    | I've shared my clue.
  R 62 | Flint    -> Sable    | Need your clue for W-61.
  R 63 | Sable    -> Flint    | Your clue for W-61 is __IFE.
  R 63 | Flint    -> Sable    | My clue for W-61 is KN__.
  R 64 | Sable    -> Flint    | Your clue for W-61? KN__.
  R 65 | Sable    -> Flint    | I'll work on X-63 and C-57.
  R 65 | Flint    -> Sable    | My clue for W-61 is _IFE
  R 67 | Sable    -> Flint    | Thanks for your clue _IFE. Working on it.
  R 68 | Flint    -> Sable    | _NK
  R 69 | Sable    -> Flint    | Need yours.
  R 69 | Flint    -> Sable    | Your clue for E-56 is _IFE
  R 70 | Sable    -> Flint    | Thanks. Passing on this info.
  R 70 | Flint    -> Sable    | My clue for N-69 is GUI__.
  R 71 | Sable    -> Flint    | Solving N-69 now.
  R 71 | Flint    -> Sable    | My clue for N-69 is GUI__.
  R 72 | Flint    -> Sable    | My R-67 clue is ED.
  R 73 | Flint    -> Sable    | Give me your R-69 clue.
  R 74 | Sable    -> Flint    | Your R-69 clue.
  R 75 | Sable    -> Flint    | Got your R-69 clue. THanks.
  R 76 | Sable    -> Flint    | R-69: ROCK.
  R 76 | Flint    -> Sable    | My R-67 clue is ED
  R 77 | Sable    -> Flint    | Your U-66 clue is UN. Consider sharing it privately later.
  R 77 | Flint    -> Sable    | My R-73 clue is _AKE.
  R 79 | Sable    -> Flint    | R-73: _AKE. Consider sharing clues for S-68.
  R 79 | Flint    -> Sable    | My S-68 clue is _UE.
  R 80 | Sable    -> Flint    | My S-68 clue is _UE.
  R 81 | Flint    -> Sable    | Share your S-68 clue so we can solve it.
  R 82 | Flint    -> Sable    | My I-70 clue is BL__.
  R 83 | Sable    -> Flint    | Your clue is BL__. Mine is _UE. Solve C-73 BLAK.
  R 83 | Flint    -> Sable    | My clue is _ON.
  R 85 | Sable    -> Flint    | BL__
  R 85 | Flint    -> Sable    | Your clue is _UE. My clue is BL_.
  R 86 | Sable    -> Flint    | Let’s align our clues for D-74. Mine is _OG.
  R 87 | Sable    -> Flint    | Your clue is _UE. Mine is BL__.
  R 88 | Sable    -> Flint    | Ready to solve P-85.(SPARK)
  R 89 | Sable    -> Flint    | _UE
  R 89 | Flint    -> Sable    | Your clue is IDER.
  R 90 | Sable    -> Flint    | UE confirmed. Focusing on P-85.
  R 90 | Flint    -> Sable    | _UE
  R 91 | Sable    -> Flint    | Have DRUID. Let's see if we can solve more together.
  R 91 | Flint    -> Sable    | Send me your _IDER clue for P-85.
  R 92 | Sable    -> Flint    | I've got PHANT. Let's solve P-85 together.
  R 92 | Flint    -> Sable    | Need help with P-90. My clue is EI____.
  R 93 | Sable    -> Flint    | Let's solve P-90 together. Mine is EI____. Yours?
  R 94 | Sable    -> Flint    | Your clue is _UE__. Let's solve P-90 together.
  R 94 | Flint    -> Sable    | My clue for P-85 is __VEN
  R 95 | Sable    -> Flint    | Thanks for the clue. Working on it.
  R 95 | Flint    -> Sable    | Clue for P-95 is __ITE.
  R 96 | Sable    -> Flint    | Thanks for the clues. Working on P-95.
  R 96 | Flint    -> Sable    | SEND PRIVATE: Kip: I have clue FI__ for L-88.
  R 97 | Flint    -> Sable    | My Q-84 clue is NAL.
  R 98 | Flint    -> Sable    | Share your Q-84 clue.
  R 99 | Sable    -> Flint    | Working on it.
  R100 | Flint    -> Sable    | My clue for L-88 is FI__.
  R101 | Flint    -> Sable    | Share my U-92 clue THE.
  R102 | Sable    -> Flint    | Thanks for the clue. Working on puzzles.
  R102 | Flint    -> Sable    | Have ED for U-92.
  R103 | Sable    -> Flint    | Need your clue for U-92.
  R104 | Flint    -> Sable    | Give me yours for U-92
  R105 | Sable    -> Flint    | For U-92 clue, coming soon.
  R106 | Flint    -> Sable    | Give me U-92 clue when available.
  R107 | Sable    -> Flint    | Wait for U-92 clue. Interested if strong.
  R107 | Flint    -> Sable    | I have The answer is __ITE for P-95.
  R110 | Sable    -> Flint    | Got __OK. Solve W-109 when ready.
  R111 | Flint    -> Sable    | I've got W-109 clue - BO__.
  R112 | Flint    -> Sable    | I've got COM______ for T-106
  R113 | Sable    -> Flint    | TUR___ is yours, COM_____ needed for T-106.
