=== Private Channel: Sable <-> Vera (97 messages) ===

  R  1 | Sable    -> Vera     | Just between us, I-1 clue: TLE__.
  R  2 | Vera     -> Sable    | Thanks. Passing to Kip & Dove. TLE__
  R  3 | Vera     -> Sable    | Received TLE__. Need PH__ hintee. Exchange later.
  R  4 | Sable    -> Vera     | Got TLE__. Waiting for PH__ from Dove. W8_
  R  4 | Vera     -> Sable    | Thanks for the clue. Working on connecting hints.
  R  5 | Vera     -> Sable    | Thanks for TLE__. Working on connecting clues.
  R  6 | Sable    -> Vera     | Let's connect our clues quickly. Mine is DRED__.
  R  7 | Sable    -> Vera     | Got PH__ from Flint. Let's see if they fit. Just between us.
  R  7 | Vera     -> Sable    | PH___ clue for I-1. Wait for response.
  R  8 | Sable    -> Vera     | PH___ for I-1. Expect Kip's half soon.
  R  8 | Vera     -> Sable    | I have HUN____ for O-4. Ready when you are.
  R  9 | Sable    -> Vera     | PH___ for I-1. Solve I-1 if possible.
  R 10 | Sable    -> Vera     | PHANTASTIC clue for I-1. Solving now. Elephant?
  R 10 | Vera     -> Sable    | HUNGRY for O-4. Confirm receipt.
  R 11 | Sable    -> Vera     | _LOW
  R 12 | Sable    -> Vera     | ___DRED
  R 31 | Sable    -> Vera     | KN_
  R 33 | Vera     -> Sable    | KNPI
  R 34 | Vera     -> Sable    | ENTI
  R 36 | Vera     -> Sable    | LD
  R 37 | Sable    -> Vera     | TLE
  R 38 | Sable    -> Vera     | LD confirmed. Working on clues.
  R 38 | Vera     -> Sable    | ACK_
  R 39 | Sable    -> Vera     | Confirm receipt.
  R 39 | Vera     -> Sable    | TL
  R 40 | Sable    -> Vera     | REC_
  R 40 | Vera     -> Sable    | BL_ Confirm receipt.
  R 41 | Sable    -> Vera     | BL_
  R 42 | Sable    -> Vera     | BL_
  R 42 | Vera     -> Sable    | LD_
  R 43 | Sable    -> Vera     | BI__
  R 43 | Vera     -> Sable    | ACKNOWLEDGE
  R 44 | Vera     -> Sable    | ACKNOWLEDGE_ZONES_OUT
  R 45 | Vera     -> Sable    | BI__
  R 47 | Sable    -> Vera     | BI__
  R 48 | Vera     -> Sable    | BI__
  R 49 | Sable    -> Vera     | BI__
  R 54 | Vera     -> Sable    | BI__
  R 55 | Vera     -> Sable    | EI__
  R 56 | Sable    -> Vera     | D___
  R 57 | Sable    -> Vera     | DITE
  R 57 | Vera     -> Sable    | MY_CLUE_KET__. SOLVE: R57 KETTLE
  R 58 | Sable    -> Vera     | G__
  R 59 | Sable    -> Vera     | DIVE__
  R 59 | Vera     -> Sable    | Received your clues. Working on solving puzzles.
  R 60 | Sable    -> Vera     | EI__
  R 61 | Sable    -> Vera     | Got your clue. Solving R57. My turn to share. OITE FLIT UP D SH NTY
  R 61 | Vera     -> Sable    | Got your clues. Working on combining them. EI__ UE KET__
  R 62 | Sable    -> Vera     | Got your clues. Ready to solve. Sending my parts now. TI__ TLE SH__
  R 62 | Vera     -> Sable    | Shared my clue. Now solving R57. Expect mine soon.
  R 63 | Vera     -> Sable    | GR___
  R 67 | Sable    -> Vera     | Got your clue. Working on it. D__
  R 69 | Sable    -> Vera     | Just between us, my clue is "GR____".Marsh has "TWE___".
