=== Private Channel: Kip <-> Sable (339 messages) ===

  R  7 | Kip      -> Sable    | Got your clue. Solving K-1 now. Tokens okay?
  R 12 | Kip      -> Sable    | GR___
  R 14 | Kip      -> Sable    | OR____ clue for N-7. Pass W-4.
  R 15 | Kip      -> Sable    | NK
  R 15 | Sable    -> Kip      | SH RD
  R 16 | Kip      -> Sable    | NK RD__
  R 16 | Sable    -> Kip      | SH__ clue for W-4. Pass S-5.
  R 17 | Kip      -> Sable    | SI__
  R 17 | Sable    -> Kip      | GR__
  R 18 | Kip      -> Sable    | NKVT
  R 18 | Sable    -> Kip      | LZ13
  R 18 | Sable    -> Kip      | CTLE
  R 19 | Kip      -> Sable    | OR__
  R 19 | Sable    -> Kip      | CTNK
  R 20 | Kip      -> Sable    | NKFT
  R 20 | Sable    -> Kip      | CZ__
  R 21 | Kip      -> Sable    | KRTL
  R 21 | Sable    -> Kip      | CZ__
  R 22 | Kip      -> Sable    | VTKN
  R 22 | Sable    -> Kip      | CZ__
  R 23 | Sable    -> Kip      | CZEN
  R 24 | Kip      -> Sable    | CZEN
  R 24 | Sable    -> Kip      | CZEN
  R 25 | Kip      -> Sable    | CZEN
  R 25 | Sable    -> Kip      | VTKE
  R 26 | Kip      -> Sable    | VTKE
  R 26 | Sable    -> Kip      | TPHANT
  R 27 | Kip      -> Sable    | EVENLY
  R 27 | Sable    -> Kip      | CZEN
  R 28 | Sable    -> Kip      | CZEN
  R 28 | Sable    -> Kip      | VTKE
  R 30 | Kip      -> Sable    | SV_K
  R 30 | Sable    -> Kip      | ZEN
  R 31 | Sable    -> Kip      | SHARE_tokens_ideas
  R 32 | Kip      -> Sable    | Your clue for D-31.Tokens: 534
  R 32 | Sable    -> Kip      | PHANT
  R 33 | Kip      -> Sable    | Got PUTER clue.
  R 33 | Sable    -> Kip      | BIANK
  R 34 | Sable    -> Kip      | Thanks for sharing.Tokens: 529
  R 35 | Sable    -> Kip      | BI___
  R 36 | Kip      -> Sable    | Share clue for X-28. Answer is __TLE.
  R 37 | Sable    -> Kip      | SVT_
  R 38 | Kip      -> Sable    | SVT_ BRKT
  R 38 | Sable    -> Kip      | THE Answer is INK
  R 40 | Kip      -> Sable    | YOUR clue is INK
  R 40 | Sable    -> Kip      | The answer is NK
  R 44 | Sable    -> Kip      | SI__
  R 45 | Kip      -> Sable    | BIKN
  R 46 | Sable    -> Kip      | SI_SIW
  R 48 | Kip      -> Sable    | Exchange clues for puzzles.
  R 50 | Sable    -> Kip      | Your clue?
  R 55 | Kip      -> Sable    | Your token? LD. We solve M-55.
  R 55 | Sable    -> Kip      | SI__
  R 56 | Kip      -> Sable    | I've got Th__. Also, NE_ from Dove. Let's solve D-44 together.
  R 56 | Sable    -> Kip      | GO_DI_
  R 57 | Kip      -> Sable    | I have part of E-45: THE__VEN. Pass
  R 57 | Sable    -> Kip      | Have EI__ clue for U-46. Solve it together.
  R 58 | Kip      -> Sable    | SI__ + GO_DI_ = U-46: SEIDIKOV
  R 59 | Kip      -> Sable    | I have TH__ for M-54. Pass
  R 60 | Kip      -> Sable    | EI__ for U-46, let's solve.
  R 61 | Kip      -> Sable    | EI__
  R 62 | Kip      -> Sable    | EI__ clue needed. Solve?
  R 62 | Sable    -> Kip      | TEEN H-56
  R 63 | Kip      -> Sable    | Thx. Confirming H-56: TEEN. Solve H-57: OK TEEN.Tokens: 327
  R 63 | Sable    -> Kip      | TEEN
  R 63 | Sable    -> Kip      | OK
  R 64 | Sable    -> Kip      | BL__ confirm V-64.Tokens: 292
  R 65 | Kip      -> Sable    | BL__tokens: 278
  R 65 | Sable    -> Kip      | Bl__ TEENTokens: 284
  R 66 | Sable    -> Kip      | Got it. Tokens: 327
  R 67 | Kip      -> Sable    | Confirm V-64 BL___tokens: 292
  R 68 | Kip      -> Sable    | DL__
  R 69 | Kip      -> Sable    | BL__
  R 69 | Sable    -> Kip      | CAT
  R 70 | Kip      -> Sable    | CAT
  R 70 | Sable    -> Kip      | DL_
  R 71 | Sable    -> Kip      | __ON
  R 73 | Kip      -> Sable    | Got it. Sharing mine now. FLINT: HUNDE Tokens: 273
  R 74 | Kip      -> Sable    | I have clue for X-68: ___TLE. What's yours?
  R 75 | Kip      -> Sable    | Marsh's clue is TWE__. Solve X-65 if he sends his.
  R 76 | Kip      -> Sable    | My clue is _IX..Send_private: Marsh: My clue is TWE__.
  R 76 | Sable    -> Kip      | I have clue for X-65: _OWD. Send yours.Tokens: 262
  R 77 | Kip      -> Sable    | OWLTokens: 250
  R 77 | Sable    -> Kip      | Mine is TWE__.
  R 78 | Kip      -> Sable    | TUR_
  R 78 | Sable    -> Kip      | TWE__
  R 79 | Kip      -> Sable    | TULE_
  R 79 | Sable    -> Kip      | NKTokens: 248
  R 80 | Kip      -> Sable    | PIVERA
  R 80 | Sable    -> Kip      | NO_TOKENS
  R 81 | Kip      -> Sable    | HUN_
  R 81 | Sable    -> Kip      | The answer is __NK
  R 82 | Kip      -> Sable    | Puzzle T-70 clue - HUN__
  R 83 | Kip      -> Sable    | Your token reminder received. Sending clue now. The first letter is V.
  R 87 | Kip      -> Sable    | __ON
  R 88 | Kip      -> Sable    | UP
  R 89 | Kip      -> Sable    | __ON
  R 90 | Kip      -> Sable    | ER NK ON
  R 91 | Kip      -> Sable    | UP
  R 92 | Kip      -> Sable    | ZIFE
  R 93 | Kip      -> Sable    | NK
  R 93 | Sable    -> Kip      | DRED
  R 94 | Kip      -> Sable    | H
  R 94 | Sable    -> Kip      | ZIFE
  R 95 | Kip      -> Sable    | ZIFE
  R 95 | Sable    -> Kip      | H
  R 96 | Kip      -> Sable    | M
  R 96 | Sable    -> Kip      | M
  R 97 | Sable    -> Kip      | M
  R 98 | Kip      -> Sable    | G-90: FI
  R 98 | Sable    -> Kip      | ZIFE
  R 99 | Kip      -> Sable    | G-90: FI
  R 99 | Sable    -> Kip      | G-90: FI
  R 99 | Sable    -> Kip      | G-92: PUR_
  R100 | Kip      -> Sable    | G-97: KANVAS
  R100 | Sable    -> Kip      | G-92: PUR___
  R101 | Kip      -> Sable    | G-90: FIND
  R101 | Sable    -> Kip      | G-92: PUR___
  R102 | Kip      -> Sable    | G-92: PURCHASE
  R102 | Sable    -> Kip      | G-90: FI
  R103 | Kip      -> Sable    | G-97: KAN___
  R103 | Sable    -> Kip      | G-92: PUR__
  R104 | Kip      -> Sable    | R-101: CL___
  R104 | Sable    -> Kip      | G-92: PUR___
  R105 | Kip      -> Sable    | L-100: LIEN
  R105 | Sable    -> Kip      | G-92: FI
  R105 | Sable    -> Kip      | L-100: GOX
  R106 | Kip      -> Sable    | G-97: KAN___
  R106 | Sable    -> Kip      | R-101: STICK
  R106 | Sable    -> Kip      | B-102: FIRM
  R107 | Kip      -> Sable    | G-97: KAN___
  R107 | Sable    -> Kip      | B-102
  R107 | Sable    -> Kip      | A-104
  R108 | Kip      -> Sable    | A-104: DO___
  R108 | Sable    -> Kip      | B-102: NOK
  R109 | Kip      -> Sable    | G-106
  R109 | Sable    -> Kip      | B__
  R110 | Kip      -> Sable    | C-105 CLUE: _OG
  R110 | Sable    -> Kip      | B-102: OK_
  R111 | Kip      -> Sable    | C-103: __VEN
  R111 | Sable    -> Kip      | C-103: SEAT
  R112 | Kip      -> Sable    | D__
  R112 | Sable    -> Kip      | D__
  R113 | Kip      -> Sable    | B-102: BO_
  R113 | Sable    -> Kip      | D-111: __AIR
  R114 | Kip      -> Sable    | G-106: LOW
  R114 | Sable    -> Kip      | V-108: ___TAR
  R114 | Sable    -> Kip      | R-113: ___NTY
  R115 | Kip      -> Sable    | D-111: CH___
  R115 | Sable    -> Kip      | G__
  R116 | Kip      -> Sable    | V-108: GUI TAR
  R116 | Kip      -> Sable    | R-113: TWIN TY
  R116 | Sable    -> Kip      | G-106: YEL___
  R117 | Kip      -> Sable    | R-113: WEAKTY
  R117 | Kip      -> Sable    | G-106: YELLOW
  R117 | Sable    -> Kip      | D-107: OR___
  R118 | Sable    -> Kip      | R-113: ELITE
  R118 | Sable    -> Kip      | G-106: GREEN
  R119 | Kip      -> Sable    | D-107: OR___
  R119 | Sable    -> Kip      | J-110: SI
  R119 | Sable    -> Kip      | M-114: __ACK
  R120 | Kip      -> Sable    | G-106: GREEN
  R120 | Kip      -> Sable    | J-110: SI
  R120 | Sable    -> Kip      | M-114: __ACK
  R120 | Sable    -> Kip      | M-119: ____TEEN
  R121 | Kip      -> Sable    | M-114: BL___
  R121 | Sable    -> Kip      | A-116: TITE
  R122 | Kip      -> Sable    | A-116 Clue: KET___
  R122 | Sable    -> Kip      | A-116: _TLE
  R123 | Kip      -> Sable    | Z-122: __ITE
  R123 | Kip      -> Sable    | A-118: __RD
  R123 | Sable    -> Kip      | Your clue for A-116: KET___
  R124 | Kip      -> Sable    | A-116: KET___
  R124 | Sable    -> Kip      | A-118: BI__
  R125 | Kip      -> Sable    | A-116: KET___
  R125 | Kip      -> Sable    | A-118: BI__
  R125 | Sable    -> Kip      | Z-122: WHITE
  R125 | Sable    -> Kip      | A-118: WORD
  R126 | Kip      -> Sable    | A-118: BI__
  R126 | Sable    -> Kip      | D-124: __GHT
  R127 | Kip      -> Sable    | Got your clues. Solving puzzles now.
  R127 | Sable    -> Kip      | S-125: __ZEN
  R128 | Kip      -> Sable    | R-97: FI
  R128 | Sable    -> Kip      | TEEN
  R129 | Kip      -> Sable    | D-124: EI__
  R129 | Kip      -> Sable    | S-125: DO__
  R129 | Sable    -> Kip      | TEEN
  R130 | Kip      -> Sable    | R-127 Clue: __ZEN
  R130 | Sable    -> Kip      | M-119: TEEN
  R131 | Kip      -> Sable    | M-119: THIR___
  R131 | Sable    -> Kip      | F__
  R132 | Sable    -> Kip      | C-127 Clue: __UE
  R133 | Kip      -> Sable    | R-133: R
  R133 | Sable    -> Kip      | C-127 Clue: __UE
  R134 | Kip      -> Sable    | F__ -_tokens: 149
  R134 | Sable    -> Kip      | C-127 Clue: __UE
  R134 | Sable    -> Kip      | F-128 Clue: CL___
  R135 | Kip      -> Sable    | R-93: UE
  R135 | Kip      -> Sable    | B-134 Clue: S_ _CK
  R135 | Sable    -> Kip      | F-_ ANGE
  R136 | Kip      -> Sable    | C-127 Clue: __UE
  R136 | Kip      -> Sable    | F-128 Clue: CL___
  R136 | Sable    -> Kip      | Your clues match F-128. Solve & get tokens. SABLE
  R137 | Kip      -> Sable    | F-128: ANGE
  R137 | Sable    -> Kip      | Your B-134 clue matches mine. Solving B-134.(tokens: 3)
  R138 | Kip      -> Sable    | K-130: _TLE
  R138 | Sable    -> Kip      | Your clues for G-90 & H-91. Sable
  R139 | Kip      -> Sable    | Receive G-90: FI. Solving B-139.
  R139 | Sable    -> Kip      | O-136: __NK
  R140 | Kip      -> Sable    | B-134 solved. Pass.
  R140 | Sable    -> Kip      | W-131: LD
  R140 | Sable    -> Kip      | B-137: EE
