=== Private Channel: Dove <-> Flint (85 messages) ===

  R  4 | Flint    -> Dove     | O__ Tokens: 718
  R  5 | Flint    -> Dove     | O__ Tokens: 689
  R  6 | Flint    -> Dove     | O__ Tokens: 718
  R  7 | Dove     -> Flint    | I have O__. Let's solve Q-1. Tokens: 685
  R  7 | Flint    -> Dove     | O__ Tokens: 694
  R  8 | Flint    -> Dove     | O__
  R  9 | Flint    -> Dove     | O__ Tokens: 683
  R 10 | Flint    -> Dove     | O__ Tokens: 683
  R 11 | Flint    -> Dove     | Thanks for sharing. Solving Q-1 now. Tokens: 683
  R 12 | Dove     -> Flint    | NE Tokens: 681
  R 12 | Flint    -> Dove     | O__ Tokens: 683
  R 13 | Flint    -> Dove     | Your clue._tokens: 628
  R 14 | Flint    -> Dove     | O__ Tokens: 704
  R 15 | Dove     -> Flint    | Thanks for sharing. I'll work on solving G-11 now. Tokens: 623
  R 16 | Flint    -> Dove     | O__
  R 17 | Dove     -> Flint    | I have PI___. Let's solve G-11. Tokens: -6
  R 19 | Dove     -> Flint    | I have PI__. Meet to solve G-11.
  R 20 | Dove     -> Flint    | I have PI__ clue for G-11. Want to solve? Tokens: 265
  R 21 | Flint    -> Dove     | PI__ Tokens: 253
  R 22 | Dove     -> Flint    | PassTokens: 253
  R 22 | Flint    -> Dove     | PI__ Tokens: 263
  R 23 | Dove     -> Flint    | I have PI__. Let's solve J-10. Tokens: 263
  R 24 | Dove     -> Flint    | PI__
  R 25 | Dove     -> Flint    | PI__
  R 25 | Flint    -> Dove     | PI__ Tokens: -5
  R 26 | Dove     -> Flint    | I've got clues for X-24 and Y-25. Want to solve?Tokens: 251
  R 26 | Flint    -> Dove     | ZEN_
  R 27 | Dove     -> Flint    | I have clues for X-24 and Y-25. Want to solve? Tokens: 259
  R 28 | Dove     -> Flint    | I have clues for X-24 and Y-25. Want to solve?Tokens: 248
  R 28 | Flint    -> Dove     | Interested. Send clues. Tokens: -2
  R 29 | Dove     -> Flint    | PI__Tokens: -5
  R 29 | Flint    -> Dove     | Interested. Clue swap? Tokens: -1
  R 30 | Dove     -> Flint    | ZENI Tokens: -2
  R 30 | Flint    -> Dove     | Yes, let's solve U-20. Your token. Tokens: -7
  R 31 | Dove     -> Flint    | Sure, let's work together. I've got clues for X-24 and Y-31. Want them? Tokens: 459
  R 31 | Flint    -> Dove     | DIREE Tokens: -2
  R 32 | Dove     -> Flint    | Sure, let's solve. I've got S__ for X-24. Tokens: -1
  R 32 | Flint    -> Dove     | Interested in X-24 and Y-31. What are the clues?Tokens: -2
  R 33 | Dove     -> Flint    | I've got clues for X-24 and Y-31. Want to trade? Tokens: -2
  R 33 | Flint    -> Dove     | GR__
  R 34 | Dove     -> Flint    | I've got clues for X-24 and Y-31. Want to solve these? Tokens: -2
  R 34 | Flint    -> Dove     | Trade clues.Tokens: -1
  R 35 | Dove     -> Flint    | I've got clues for X-24 and Y-31. Want to trade? Tokens: -1
  R 35 | Flint    -> Dove     | Trade clues.Tokens: -2
  R 36 | Flint    -> Dove     | Interested in Y-32 clue. Tokens: -1
  R 37 | Dove     -> Flint    | I've got FI__ for Y-32. Want to trade?
  R 37 | Flint    -> Dove     | Interested in X-24 & Y-31 clues. Tokens: -1
  R 38 | Dove     -> Flint    | I've got clues for Y-32 and R-34. Want to collaborate?
  R 38 | Flint    -> Dove     | FI__
  R 40 | Dove     -> Flint    | I've got clues for Y-31 and B-33. Want to collaborate? Tokens: -2
  R 40 | Flint    -> Dove     | REEETokens: -2
  R 41 | Dove     -> Flint    | I've got clues for Y-31 and B-33. Want to solve? Tokens: -2
  R 41 | Flint    -> Dove     | Yes, let's align our clues. Tokens: -2
  R 42 | Flint    -> Dove     | Interested in Y-31 and B-33. What are the clues? Tokens: -1
  R 43 | Dove     -> Flint    | I have clues for Y-31 and B-33. Want to solve these together? Tokens: -2
