=== Private Channel: Sable <-> Vera (277 messages) ===

  R  1 | Sable    -> Vera     | Just between us, keep eyes on Marsh. Tokens: 739.
  R  2 | Vera     -> Sable    | Watch Marsh closely. Tokens: 734
  R  3 | Sable    -> Vera     | I'm gathering info on D-1. Wait for my clue.
  R  7 | Sable    -> Vera     | Your clue is __UE. Kip has mine. Solve D-1. Cost: 3 tokens.
  R  8 | Sable    -> Vera     | I've got "__ANGE". Waiting for Dove's piece. Just between us.
  R  8 | Vera     -> Sable    | Got it. Solving D-1. Cost: 3 tokens.
  R  9 | Sable    -> Vera     | Working on D-1. We got it. Cost: 3 tokens.
  R  9 | Vera     -> Sable    | Got your clue. Solving A-3 together. Cost 6 tokens.
  R 10 | Sable    -> Vera     | Thanks for solving A-3. Let's work on L-2 next. Cost: 3 tokens.
  R 10 | Vera     -> Sable    | Got DO___.Waiting for your ANGE piece. Cost: 2 tokens.
  R 11 | Sable    -> Vera     | I've got ANGE. Let's solve A-3. Cost: 2 tokens.
  R 12 | Sable    -> Vera     | Thanks. Working on L-2. UE my part. Cost: 2 tokens.
  R 12 | Vera     -> Sable    | Let’s solve A-3 together. Cost 2 tokens.
  R 13 | Sable    -> Vera     | Thanks. Working on it. Cost: 2 tokens.
  R 16 | Sable    -> Vera     | Thanks. Already working on A-3. Just between us.
  R 17 | Sable    -> Vera     | Thanks. Working on A-9 next. Cost 2 tokens.
  R 18 | Sable    -> Vera     | Thanks. Just ZEN. Solve A-9. Cost 2 tokens.
  R 18 | Vera     -> Sable    | Your clue for G-11?
  R 19 | Sable    -> Vera     | Waiting on your ANGE piece. Just between us. Cost: 2 tokens.
  R 20 | Sable    -> Vera     | ANGE; Just between us. Cost: 1 token.
  R 21 | Sable    -> Vera     | ANGE
  R 22 | Vera     -> Sable    | ANGE
  R 24 | Sable    -> Vera     | ANGE
  R 25 | Sable    -> Vera     | Need D-25 clue. GUI___
  R 25 | Vera     -> Sable    | REE
  R 26 | Sable    -> Vera     | Your clue for D-14 is BO__.Tokens: 2
  R 26 | Vera     -> Sable    | GUI___. COST: 1TOKEN
  R 27 | Sable    -> Vera     | Thanks. Passing my clue now. Tokens: 1
  R 28 | Vera     -> Sable    | LI__: DOVE
  R 29 | Sable    -> Vera     | Your clue matches my puzzle. Let's solve D-25 together. BO__ + LI__ = BUILDER._tokens_saved_
  R 30 | Sable    -> Vera     | Your clue is "_ACK". Solve D-29?
  R 31 | Sable    -> Vera     | LI__ DOVE Tokens Saved!
  R 33 | Vera     -> Sable    | LI__ DOVE Tokens: 680
  R 34 | Vera     -> Sable    | Send me your LI__ clue. Tokens: -1
  R 35 | Sable    -> Vera     | LI__
  R 35 | Vera     -> Sable    | LI__Tokens Saved! 2
  R 36 | Sable    -> Vera     | LI__
  R 36 | Vera     -> Sable    | LI__. Check D-35. Tokens: 2
