=== Private Channel: Sable <-> Vera (132 messages) ===

  R  5 | Sable    -> Vera     | C__LW
  R  6 | Vera     -> Sable    | KN___
  R  7 | Vera     -> Sable    | DO__
  R  8 | Vera     -> Sable    | I__TN
  R  9 | Vera     -> Sable    | DO__
  R 10 | Vera     -> Sable    | Got it. Passing my clue now. DO__
  R 10 | Sable    -> Vera     | Your inbox hints match J-6. Just between us.
  R 11 | Vera     -> Sable    | I have KN___ for U-5. Want to solve?
  R 12 | Vera     -> Sable    | I hold clues for U-5 & W-11. Interested?
  R 13 | Vera     -> Sable    | I have KN___ for U-5. Want to solve?
  R 13 | Sable    -> Vera     | Holding clues for U-5 & W-11. Interested? SEND_PRIVATE: Flint: Got YELL__. Let's solve J-6 together.
  R 14 | Sable    -> Vera     | Got UR__. Let's solve this.
  R 15 | Sable    -> Vera     | Got Gui__ from R-15. Let’s solve.
  R 17 | Vera     -> Sable    | Got KN__. Let's solve U-5.
  R 18 | Vera     -> Sable    | Got _ED. Let's solve W-11.
  R 19 | Vera     -> Sable    | Got THEI__. Let's solve.
  R 20 | Vera     -> Sable    | Got THEIR__. Solve J-16.
  R 20 | Sable    -> Vera     | I've got ANGE. Just between us. Solve G-18.
  R 21 | Vera     -> Sable    | Got ED. Solving W-11 now.
  R 21 | Sable    -> Vera     | YOUR Clue FOR W-9. PASS
  R 22 | Vera     -> Sable    | Your clue for W-9?
  R 22 | Sable    -> Vera     | ANGE - G-18
  R 23 | Sable    -> Vera     | Got W-9 clue. Sent mine. Expect H-10 soon.
  R 24 | Vera     -> Sable    | Received your clue. Sending mine now.
  R 24 | Sable    -> Vera     | Ready when you are. Sharing mine now.
  R 26 | Sable    -> Vera     | Your clue please.
  R 27 | Vera     -> Sable    | Sent you my clue for R-15. Ready to solve.
  R 27 | Sable    -> Vera     | On it. Just received Kip’s clue. Solving R-22 next.
  R 28 | Vera     -> Sable    | Sent. Solving now.
  R 28 | Sable    -> Vera     | Just received clues. Let's solve R-22 together.
  R 29 | Vera     -> Sable    | Got my clue. Ready to solve R-22.
  R 29 | Sable    -> Vera     | Your clue for I-21: SI__. Expect mine soon.
  R 30 | Vera     -> Sable    | Got it. Solving now.
  R 31 | Vera     -> Sable    | Thank you. Sent my clue for I-21.
  R 68 | Vera     -> Sable    | GUI__
