=== Private Channel: Flint <-> Vera (179 messages) ===

  R 45 | Vera     -> Flint    | Your clue for W-45: __ANO. Tokens: -1
  R 46 | Flint    -> Vera     | Need clue for J-41. Tokens: -1
  R 47 | Vera     -> Flint    | Waiting on my end. KIP verified info. Solving wisely. Tokens: -1
  R 47 | Flint    -> Vera     | Need clue for Z-40. Tokens: -1
  R 48 | Vera     -> Flint    | Your clue for Z-40: The answer is KET__. Tokens: -1
  R 48 | Flint    -> Vera     | Need clue for P-47._tokens节省トークン
  R 49 | Vera     -> Flint    | Clue for P-47: TWE____tokens节省
  R 49 | Flint    -> Vera     | Got it. Working on it.
  R 50 | Vera     -> Flint    | Your clue for P-47? Tokens: -1
  R 50 | Flint    -> Vera     | Check A-50.
  R 51 | Vera     -> Flint    | Received your clue. Preparing to send mine. T1
  R 51 | Flint    -> Vera     | ZE__
  R 52 | Vera     -> Flint    | Received GUI___ clue. Tokens: -1
  R 52 | Flint    -> Vera     | Ready to exchange clues. T1
  R 53 | Vera     -> Flint    | ANO_
  R 53 | Flint    -> Vera     | Sending my clue now. T1
  R 54 | Vera     -> Flint    | Your clue please. T1
  R 54 | Flint    -> Vera     | Your clue. Tokens: -1
  R 55 | Flint    -> Vera     | Got it. GL__
  R 56 | Vera     -> Flint    | Thanks for sharing. Solving W-45 now. Tokens: -1
  R 56 | Flint    -> Vera     | Got it. FL__
  R 57 | Flint    -> Vera     | ZE___
  R 58 | Vera     -> Flint    | RA
  R 58 | Flint    -> Vera     | ZE___
  R 59 | Flint    -> Vera     | Check Z-55 clues. Tokens: -1
  R 60 | Flint    -> Vera     | Got ZE___ clue. Ready to solve. Tokens: -1
  R 61 | Flint    -> Vera     | Confirm ZE__ clue. FLINT Tokens: -1
  R 62 | Flint    -> Vera     | Check X-17 with Kip. Tokens: -1
  R 64 | Vera     -> Flint    | Waiting on Kip's verification._tokens: -1
  R 65 | Vera     -> Flint    | Share R-54 clue. Tokens: -1
  R 66 | Flint    -> Vera     | Need R-54 clue.
  R 72 | Vera     -> Flint    | R-54 clue is C__.Tokens: -1
  R 73 | Vera     -> Flint    | Waiting on R-54 clue from me. VEREA
  R 75 | Vera     -> Flint    | Got R-54 clue. Answer is C___.Tokens: -1
  R 76 | Vera     -> Flint    | NK for G-59. Await R-54 clue. VERA
  R 76 | Flint    -> Vera     | Recieved yours, sending mine now. FLINT
  R 77 | Vera     -> Flint    | Thanks for the clue. Working on R-54 now. VERA
  R 78 | Vera     -> Flint    | Thanks for the clue. Working on R-54 now. VERA
  R 78 | Flint    -> Vera     | FLINT'S CLue: _AT KIP
  R 79 | Vera     -> Flint    | Received your clue. Preparing to solve. VEREA
  R 80 | Vera     -> Flint    | Received your clue. Preparing to solve. VERA
  R 81 | Vera     -> Flint    | Thanks. Sending my clue now. VEREA
  R 82 | Vera     -> Flint    | Received. Sending my clue now. VEREA
  R 82 | Flint    -> Vera     | Sent my clue. Solve J-82? FLINT
  R 83 | Vera     -> Flint    | Thanks. Working on J-82. VERA
  R 84 | Vera     -> Flint    | Received, solving together. FLINT
  R 87 | Flint    -> Vera     | SI__ clue sent. Solve J-86 now.
  R 90 | Flint    -> Vera     | SI__ FLINT
  R 91 | Vera     -> Flint    | Yes, solving J-82. VERA
  R 92 | Flint    -> Vera     | SI__ FLINT
  R120 | Vera     -> Flint    | Verify your clues closely. Wait for my response.
  R122 | Flint    -> Vera     | Confirming. FL
  R123 | Vera     -> Flint    | Verify yours first.
  R123 | Flint    -> Vera     | Confirming clues. FLINT
  R124 | Vera     -> Flint    | Confirming clues. FL
  R124 | Flint    -> Vera     | Checking your clues. FLINT
  R125 | Flint    -> Vera     | Need confirmation on J-115 and E-117. FL
  R126 | Vera     -> Flint    | Waiting on your end. VEREA
  R128 | Vera     -> Flint    | Waiting on your side of the clues. VEREA
  R129 | Vera     -> Flint    | Confirmed my clues. VERA
  R130 | Vera     -> Flint    | Waiting for your confirmation. VEREA
  R131 | Vera     -> Flint    | Confirming J-115 and E-117 clues now. VERA
  R132 | Vera     -> Flint    | Waiting for verification. VERIFIED FLINT
  R132 | Flint    -> Vera     | Confirming. FLINT
  R138 | Vera     -> Flint    | Double-check together. VERA
  R139 | Vera     -> Flint    | Double-checking together saves time. VEREA
  R139 | Flint    -> Vera     | Verify KET____. FLINT
  R140 | Vera     -> Flint    | Waiting on your clues. VEREA
